,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,1.3134321094522632,1.4566934966181626,0.5703052935530093,0.2410679584875608,0.17557859665150977,0.6780057505462423,0.9285598439897014,1.030500435543157,0.4036197063963599,0.17070284232822605,0.12446620374345391,0.48027546679482946
std,0.5095765527488435,0.707968054955866,0.3154261663095312,0.11871343963182085,0.18203346310634344,0.6386314563350682,0.3592285093223013,0.501813207372825,0.2236975016531885,0.08403474297438393,0.12868015616404535,0.4524551118948783
min,5.558194623890142e-06,5.158096009571224e-06,2.6806473353199532e-06,1.6285179545395912e-06,2.0138973137994456e-06,5.318152067206852e-06,4.595813993718415e-06,3.5695231140656485e-06,2.289673586599899e-06,1.0620004375093962e-06,1.499611626871741e-06,3.693218613199324e-06
25%,1.215630076800423,0.8579580147551042,0.22390224089157088,0.19021118917186894,5.41647791458579e-06,1.259296328700298e-05,0.8619442608372984,0.6109165890693903,0.15633006671757949,0.13348414986187657,3.989863109143481e-06,9.40040973644286e-06
50%,1.2821312053814067,1.9471233326408193,0.7896520512258287,0.242302974720974,0.16953367649663048,0.8045360947720197,0.9015261075615335,1.4055996762230536,0.5705833903857892,0.17256727324476745,0.12059318007311626,0.5676158079991134
75%,1.7552650749740666,2.072494489253274,0.8461031591170098,0.2600257874375977,0.1862844590301794,0.8711727420498114,1.2472958152345202,1.4638957688917125,0.5967336260571322,0.18285604323552684,0.1315234244378577,0.6114087988491794
max,2.1786011600950146,2.3119716679084337,0.9885073271456393,0.6638379410335512,0.7882316175807234,2.886147887813513,1.5159755968424131,1.6883390554801954,0.7542541882120347,0.4570249780519341,0.5620034964395324,2.029987964054566
