,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,0.8103968868627344,0.6793770715177379,0.3013814709326501,0.18072301559057513,0.14423941012313038,0.6433619757244642,0.5744126225712789,0.4814331625157261,0.21309750298609487,0.12769149240581165,0.10185518944309646,0.45584143248728853
std,0.36366280166427384,0.3054825762296092,0.09957637265649695,0.05576058645709786,0.10308786013819538,0.4481065098115898,0.2637564411020436,0.22152550139069346,0.07155026771311268,0.0395519956218947,0.07311894037928737,0.3200429556171853
min,5.310073943747787e-06,4.644925109798753e-06,2.617276336472096e-06,1.5140010231524766e-06,2.150778057387504e-06,5.63488040817611e-06,3.621860069640455e-06,3.139436628871432e-06,2.5966268423105413e-06,1.0845313923147787e-06,1.5255895857908409e-06,3.7280193201255586e-06
25%,0.655509201838206,0.5283868588273666,0.23294506628669062,0.15004848701090906,6.587076879702193e-06,1.4248135107233272e-05,0.46343250206473097,0.3753151147547299,0.16211028103385833,0.10551679962548112,5.443227814519479e-06,1.0546348012363663e-05
50%,0.977761733424723,0.8023628853548352,0.3041890056186428,0.16393144382494673,0.1681316105328713,0.8959132218042496,0.688243707973611,0.5674482636660967,0.2145992371473488,0.11608922086636494,0.11765385379788917,0.6293955739629575
75%,1.055202066738171,0.8883376005752325,0.33009433384976195,0.22301636672754457,0.1889015646719539,0.9683289352441088,0.7457292415716801,0.6280006996097813,0.23257249801260127,0.15673034634368632,0.1347366623246366,0.6866051734125002
max,2.111544995374716,1.6757901586326285,0.6200040244499123,0.4166286668918935,0.568751600296041,2.246011404823886,1.9240188576259898,1.5702948973144844,0.493444376083483,0.28112859689573866,0.4224125358386837,1.8950590608449633
