,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,25.497122943481287,13.519482677054569,6.61040507181938,4.8648146558081455,4.957274017790342,14.175483504015183,18.046067222261048,9.565876791776153,4.679170637713103,3.4441094211209746,3.5096712359386357,10.029647937633447
std,0.8773034554399957,0.4815475373594219,0.24148693537110524,0.18532111001390028,0.19188481187785433,0.4983174831084978,0.5299108368029526,0.2907167101086847,0.14561253026485002,0.11246267861819016,0.11830129533269514,0.305061532458318
min,23.553726782004,12.480975139313715,6.092346649884757,4.475944266755715,4.578244274510497,13.128085479814755,16.952463018973678,8.974037628853884,4.386120290609995,3.2295804416056395,3.2822899205630813,9.400966556043926
25%,24.8342061293137,13.165791478695652,6.446258742735278,4.737394023409225,4.8162757169024655,13.82700011278662,17.62029453087096,9.343944319927187,4.556910384517966,3.35749652307051,3.414703415983043,9.78151242471359
50%,25.48174975345885,13.491629555222556,6.613508116803245,4.867968211482564,4.953134933849494,14.170536846085449,18.042422718279326,9.574514888453685,4.68491601038655,3.443226228451895,3.5222689249031536,10.02248254137774
75%,26.13697049503436,13.893403430292988,6.7705741544055,5.001364780159411,5.085489555750063,14.496232444078265,18.509356792363956,9.793236527886824,4.793803793997644,3.53760386748417,3.602870117887816,10.299904707740398
max,27.321125488170352,14.521834750926898,7.1447044687120655,5.2577096684852185,5.369435808468303,15.18694511360691,19.04055130132077,10.139450174050662,4.9723701756139,3.6713884441991627,3.75281900975247,10.58387992136595
