max_ch,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
4,5.678003864342177,8.037229717885243,14.760396003437318,27.183301889558056,13.452526984790063,7.271682644466363,4.029267900996888,5.730387851172107,10.464941840426002,19.140168917024027,9.474928717992125,5.165646542518966
4,5.499506293795753,7.667918050237249,13.950046702713761,25.806175882666416,12.749916478457573,6.9452514045025975,3.9596845655310355,5.548461980521403,10.017425925022561,18.393810044007207,9.160227479119932,5.020566466919018
4,5.783112209933871,8.082983557861171,14.351550618592684,25.8575711966025,13.040970805978752,7.298154771515541,4.067860049703016,5.655958508974182,10.1890401877556,18.55182543518277,9.305413269423864,5.153562971957162
4,5.805689923245248,8.093322344131984,14.71247360108771,26.731163093153274,13.458165718635472,7.377966718291301,4.081925147148472,5.711360812031796,10.326481566698636,18.813144644227144,9.431878487028794,5.168686093021922
4,5.663126786701236,7.937258008873773,14.657624896186393,27.174257576640503,13.477842738336044,7.254861252848681,3.9999548153614874,5.578425774453722,10.206942081948576,18.802706965881107,9.355253941831805,5.083517031024843
4,5.710367680757612,7.914435591395652,14.184678772196438,26.155870729426876,13.046337217784183,7.204109989290795,4.095801612473297,5.669778723138191,10.17214159449308,18.636018157604067,9.338802485549344,5.166433038470504
4,5.891072069025097,8.157073828328395,14.459980777394753,26.10122857690761,13.246119714649563,7.409537319920824,4.145487683866608,5.76682720194124,10.295890671843148,18.692803279843943,9.441263415479341,5.235775568782345
4,6.077256835073606,8.458242045964704,15.213628471070939,27.54662974137873,14.058561709651784,7.763658660663456,4.203437533194713,5.8381379464394865,10.530137640975017,19.208310403393266,9.721419135211656,5.365618408698642
4,5.722929403011917,7.975508158447777,14.739235176785444,27.32591771683426,13.696743075578572,7.382733907363926,4.112568747693315,5.721873164817332,10.44721372330335,19.21192632307263,9.665020965365546,5.261113667868231
4,5.573826848628373,7.703449644965217,13.850034715445375,25.66011492671483,12.827485774727181,7.0433745053882655,3.9917890355366263,5.542920448926847,9.986611353811071,18.432332498239266,9.269268800007149,5.0795249518383
4,5.7482285943055,7.988113442303739,14.157162794462886,25.48572068939991,12.995516657136092,7.284031676337936,4.023034754141482,5.588926013209719,10.023862349103819,18.273339725086863,9.26307402826878,5.117378589119375
