,max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.56808,-0.54188,0.0262,1.10996,0.6292599999999999,-0.5756,0.05366000000000001,1.2048600000000003,0.623,-0.5711200000000001,0.051879999999999996,1.1941199999999998,0.62584,-0.5747199999999999,0.05112,1.20056,0.3164,-0.3038,0.012600000000000005,0.6202,0.30762,-0.30135999999999996,0.006259999999999999,0.6089799999999999
std,0.23315579796018152,0.2201729969170347,0.1268798242271732,0.43540447814857935,0.2572507559339164,0.24498787975018232,0.17828933260980306,0.4696881297027566,0.27265557251684736,0.25671787420975484,0.16865405239055212,0.5020418975929952,0.2769838542410082,0.25497763327277895,0.1702776412276163,0.504452993704213,0.3278323364409413,0.33265990477497875,0.08731364996028831,0.6547133973373855,0.33189873609341775,0.3401126320044282,0.07299896840199252,0.668085247218512
min,-0.001,-0.796,-0.147,0.003,0.001,-0.83,-0.168,0.004,-0.001,-0.832,-0.192,0.003,0.001,-0.849,-0.102,0.004,-0.001,-0.796,-0.164,0.003,0.001,-0.802,-0.149,0.002
25%,0.54025,-0.67,-0.05675,1.07925,0.597,-0.72625,-0.04575,1.15725,0.6194999999999999,-0.7335,-0.023,1.23275,0.601,-0.728,-0.029,1.23425,0.002,-0.60625,-0.01725,0.005,0.003,-0.6415,-0.01725,0.005
50%,0.604,-0.598,0.0075,1.2505000000000002,0.6950000000000001,-0.662,0.0115,1.3855,0.705,-0.657,0.014499999999999999,1.3849999999999998,0.706,-0.676,-0.001,1.4144999999999999,0.07300000000000001,-0.0045000000000000005,-0.002,0.006500000000000001,0.043,-0.004,-0.0015,0.006
75%,0.7075,-0.509,0.046,1.31525,0.75675,-0.577,0.0595,1.4705,0.76875,-0.571,0.07875,1.4685000000000001,0.7805,-0.576,0.07925,1.4765000000000001,0.6345000000000001,-0.003,0.028499999999999998,1.2695,0.64275,-0.003,0.01675,1.338
max,0.903,0.006,0.487,1.664,1.024,0.004,0.759,1.612,1.058,0.001,0.854,1.654,1.079,-0.002,0.873,1.607,0.884,0.08,0.38,1.504,0.858,0.059,0.308,1.524
