,max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.18306,-0.14788,0.035179999999999996,0.33094,0.19362,-0.14842,0.0452,0.34204,0.2015,-0.14770000000000003,0.0538,0.34919999999999995,0.21658000000000002,-0.15572,0.060860000000000004,0.3723,0.13814,-0.1144,0.023740000000000004,0.25254,0.13838,-0.11788,0.020500000000000004,0.25626
std,0.11318801587966595,0.11067024746276385,0.1601679845203345,0.1564131642771275,0.11621547369662359,0.11968565801587873,0.17794702261387474,0.1549072085646957,0.1085744830397407,0.11633506323879964,0.17405089567627707,0.14265628737118674,0.1078667148070493,0.10739456908702487,0.15522965343684322,0.14913550200801842,0.09678062928128559,0.09957214592895927,0.10514903126282335,0.16584898589514793,0.09995976537526262,0.10312359139421404,0.07963135727352944,0.1868467461065679
min,0.001,-0.457,-0.163,0.005,0.001,-0.42,-0.139,0.005,0.024,-0.478,-0.201,0.124,0.082,-0.391,-0.152,0.163,-0.002,-0.29,-0.202,0.004,0.001,-0.374,-0.152,0.004
25%,0.10625,-0.178,-0.0405,0.23550000000000001,0.113,-0.206,-0.05725,0.24825,0.129,-0.20525,-0.037,0.25325,0.1415,-0.201,-0.0335,0.26575000000000004,0.077,-0.182,-0.03,0.18325,0.04225,-0.1825,-0.03175,0.006
50%,0.16949999999999998,-0.1415,0.017,0.296,0.1815,-0.1545,-0.007,0.297,0.173,-0.153,0.019,0.31,0.192,-0.153,0.03,0.339,0.145,-0.15,0.0,0.2855,0.14,-0.14,0.001,0.279
75%,0.227,-0.114,0.056499999999999995,0.37675000000000003,0.254,-0.1135,0.0735,0.39725,0.2575,-0.0865,0.08075,0.40975,0.2635,-0.106,0.0835,0.41674999999999995,0.192,-0.00525,0.05825,0.35375,0.1995,-0.004,0.05225,0.35675
max,0.648,0.291,0.939,0.83,0.61,0.226,0.836,0.728,0.584,0.136,0.72,0.786,0.55,0.185,0.735,0.825,0.384,0.139,0.394,0.674,0.396,0.103,0.28,0.672
