max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
1.27,-1.156,0.114,2.426,0.992,-1.006,-0.014,1.998,0.633,-0.689,-0.056,1.322,0.47,-0.58,-0.11,1.05,0.001,-0.004,-0.003,0.005,0.003,-0.004,-0.001,0.007
0.525,-0.68,-0.155,1.205,0.616,-0.648,-0.032,1.264,0.003,-0.004,-0.001,0.007,0.002,-0.004,-0.002,0.006,0.513,-0.72,-0.207,1.233,0.94,-0.928,0.012,1.868
1.218,-1.13,0.088,2.348,1.108,-0.969,0.139,2.077,0.698,-0.632,0.066,1.33,0.566,-0.58,-0.014,1.146,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005
0.726,-0.752,-0.026,1.478,0.578,-0.591,-0.013,1.169,0.003,-0.003,0.0,0.006,0.002,-0.003,-0.001,0.005,0.622,-0.745,-0.123,1.367,1.042,-0.975,0.067,2.017
1.177,-1.274,-0.097,2.451,1.101,-1.101,0.0,2.202,0.704,-0.736,-0.032,1.44,0.696,-0.715,-0.019,1.411,-0.001,-0.005,-0.006,0.004,0.001,-0.003,-0.002,0.004
0.718,-0.684,0.034,1.402,1.05,-1.004,0.046,2.054,1.236,-1.143,0.093,2.379,1.092,-0.954,0.138,2.046,0.682,-0.676,0.006,1.358,0.626,-0.604,0.022,1.23
0.774,-0.646,0.128,1.42,0.74,-0.712,0.028,1.452,0.001,-0.004,-0.003,0.005,0.0,-0.004,-0.004,0.004,0.88,-0.674,0.206,1.554,1.012,-0.991,0.021,2.003
1.232,-1.234,-0.002,2.466,1.144,-1.087,0.057,2.231,0.83,-0.678,0.152,1.508,0.656,-0.672,-0.016,1.328,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
1.2,-1.179,0.021,2.379,1.088,-0.999,0.089,2.087,0.767,-0.739,0.028,1.506,0.684,-0.544,0.14,1.228,0.002,-0.004,-0.002,0.006,0.001,-0.004,-0.003,0.005
1.252,-1.117,0.135,2.369,1.012,-0.979,0.033,1.991,0.736,-0.78,-0.044,1.516,0.642,-0.634,0.008,1.276,0.003,-0.002,0.001,0.005,0.002,-0.003,-0.001,0.005
1.148,-1.286,-0.138,2.434,1.036,-1.12,-0.084,2.156,0.694,-0.76,-0.066,1.454,0.641,-0.705,-0.064,1.346,0.002,-0.003,-0.001,0.005,0.002,-0.002,0.0,0.004
1.24,-1.22,0.02,2.46,1.086,-1.052,0.034,2.138,0.71,-0.62,0.09,1.33,0.744,-0.664,0.08,1.408,0.004,-0.002,0.002,0.006,0.002,-0.004,-0.002,0.006
1.09,-1.107,-0.017,2.197,0.958,-1.03,-0.072,1.988,0.678,-0.707,-0.029,1.385,0.546,-0.652,-0.106,1.198,0.001,-0.004,-0.003,0.005,0.001,-0.004,-0.003,0.005
0.642,-0.725,-0.083,1.367,0.667,-0.652,0.015,1.319,0.003,-0.002,0.001,0.005,0.002,-0.003,-0.001,0.005,0.634,-0.668,-0.034,1.302,0.931,-0.951,-0.02,1.882
1.208,-1.348,-0.14,2.556,1.024,-1.105,-0.081,2.129,0.69,-0.81,-0.12,1.5,0.62,-0.628,-0.008,1.248,0.002,-0.003,-0.001,0.005,0.003,-0.002,0.001,0.005
0.868,-0.662,0.206,1.53,1.006,-1.042,-0.036,2.048,1.196,-1.248,-0.052,2.444,0.98,-1.112,-0.132,2.092,0.767,-0.706,0.061,1.473,0.746,-0.727,0.019,1.473
1.182,-1.034,0.148,2.216,0.753,-0.752,0.001,1.505,0.704,-0.632,0.072,1.336,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005,0.805,-0.774,0.031,1.579
1.212,-1.175,0.037,2.387,1.004,-1.03,-0.026,2.034,0.748,-0.742,0.006,1.49,0.772,-0.656,0.116,1.428,0.001,-0.004,-0.003,0.005,0.002,-0.002,0.0,0.004
0.002,-0.004,-0.002,0.006,0.001,-0.004,-0.003,0.005,0.657,-0.983,-0.326,1.64,0.986,-1.172,-0.186,2.158,1.179,-1.244,-0.065,2.423,1.094,-1.258,-0.164,2.352
1.133,-1.29,-0.157,2.423,1.016,-1.157,-0.141,2.173,0.74,-0.84,-0.1,1.58,0.6,-0.8,-0.2,1.4,0.001,-0.004,-0.003,0.005,0.003,-0.001,0.002,0.004
