max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.114,-0.139,-0.025,0.253,0.088,-0.09,-0.002,0.178,0.002,-0.004,-0.002,0.006,0.002,-0.001,0.001,0.003,0.064,-0.144,-0.08,0.208,0.056,-0.11,-0.054,0.166
0.102,-0.122,-0.02,0.224,0.12,-0.114,0.006,0.234,0.058,-0.184,-0.126,0.242,0.122,-0.096,0.026,0.218,0.001,-0.004,-0.003,0.005,0.002,-0.002,0.0,0.004
0.084,-0.129,-0.045,0.213,0.128,-0.15,-0.022,0.278,0.11,-0.046,0.064,0.156,0.077,-0.08,-0.003,0.157,0.003,-0.003,0.0,0.006,0.002,-0.004,-0.002,0.006
0.056,-0.066,-0.01,0.122,0.153,-0.126,0.027,0.279,0.078,-0.157,-0.079,0.235,0.13,-0.101,0.029,0.231,0.002,-0.003,-0.001,0.005,0.002,-0.003,-0.001,0.005
0.068,-0.114,-0.046,0.182,0.073,-0.092,-0.019,0.165,0.13,-0.088,0.042,0.218,0.103,-0.092,0.011,0.195,0.001,-0.004,-0.003,0.005,0.002,-0.004,-0.002,0.006
0.076,-0.104,-0.028,0.18,0.106,-0.076,0.03,0.182,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005,0.114,-0.088,0.026,0.202,0.11,-0.083,0.027,0.193
0.096,-0.083,0.013,0.179,0.112,-0.138,-0.026,0.25,0.107,-0.072,0.035,0.179,0.08,-0.092,-0.012,0.172,0.0,-0.004,-0.004,0.004,0.003,-0.003,0.0,0.006
0.736,-0.658,0.078,1.394,0.726,-0.648,0.078,1.374,0.628,-0.652,-0.024,1.28,0.53,-0.538,-0.008,1.068,0.002,-0.004,-0.002,0.006,0.003,-0.002,0.001,0.005
0.353,-0.48,-0.127,0.833,0.785,-0.502,0.283,1.287,0.525,-0.524,0.001,1.049,0.474,-0.502,-0.028,0.976,0.002,-0.003,-0.001,0.005,0.002,-0.004,-0.002,0.006
0.564,-0.397,0.167,0.961,0.357,-0.308,0.049,0.665,0.198,-0.346,-0.148,0.544,0.309,-0.362,-0.053,0.671,0.003,-0.002,0.001,0.005,0.002,-0.002,0.0,0.004
0.002,-0.004,-0.002,0.006,0.003,-0.002,0.001,0.005,0.182,-0.15,0.032,0.332,0.25,-0.142,0.108,0.392,0.228,-0.267,-0.039,0.495,0.215,-0.198,0.017,0.413
0.228,-0.154,0.074,0.382,0.16,-0.12,0.04,0.28,0.154,-0.085,0.069,0.239,0.138,-0.102,0.036,0.24,0.001,-0.004,-0.003,0.005,0.003,-0.003,0.0,0.006
0.058,-0.157,-0.099,0.215,0.134,-0.184,-0.05,0.318,0.002,-0.004,-0.002,0.006,0.003,-0.002,0.001,0.005,0.07,-0.188,-0.118,0.258,0.114,-0.154,-0.04,0.268
0.096,-0.102,-0.006,0.198,0.134,-0.106,0.028,0.24,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005,0.128,-0.156,-0.028,0.284,0.089,-0.104,-0.015,0.193
0.068,-0.083,-0.015,0.151,0.093,-0.138,-0.045,0.231,0.086,-0.139,-0.053,0.225,0.13,-0.085,0.045,0.215,0.086,-0.115,-0.029,0.201,0.08,-0.157,-0.077,0.237
0.13,-0.102,0.028,0.232,0.112,-0.079,0.033,0.191,0.118,-0.09,0.028,0.208,0.128,-0.097,0.031,0.225,0.001,-0.004,-0.003,0.005,0.002,-0.004,-0.002,0.006
0.164,-0.186,-0.022,0.35,0.196,-0.316,-0.12,0.512,0.213,-0.276,-0.063,0.489,0.162,-0.261,-0.099,0.423,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006
0.194,-0.184,0.01,0.378,0.002,-0.004,-0.002,0.006,0.001,-0.004,-0.003,0.005,0.19,-0.168,0.022,0.358,0.177,-0.148,0.029,0.325,0.149,-0.139,0.01,0.288
0.293,-0.218,0.075,0.511,0.396,-0.21,0.186,0.606,0.19,-0.251,-0.061,0.441,0.192,-0.176,0.016,0.368,-0.002,-0.004,-0.006,0.002,0.002,-0.003,-0.001,0.005
0.166,-0.269,-0.103,0.435,0.162,-0.2,-0.038,0.362,0.123,-0.178,-0.055,0.301,0.132,-0.144,-0.012,0.276,0.004,-0.002,0.002,0.006,0.001,-0.004,-0.003,0.005
0.156,-0.266,-0.11,0.422,0.175,-0.234,-0.059,0.409,0.314,-0.198,0.116,0.512,0.262,-0.236,0.026,0.498,0.004,-0.002,0.002,0.006,0.002,-0.004,-0.002,0.006
0.26,-0.206,0.054,0.466,0.182,-0.169,0.013,0.351,0.003,-0.003,0.0,0.006,0.002,-0.002,0.0,0.004,0.207,-0.148,0.059,0.355,0.26,-0.108,0.152,0.368
0.154,-0.191,-0.037,0.345,0.188,-0.242,-0.054,0.43,0.145,-0.204,-0.059,0.349,0.164,-0.118,0.046,0.282,0.002,-0.002,0.0,0.004,0.001,-0.003,-0.002,0.004
0.124,-0.117,0.007,0.241,0.132,-0.12,0.012,0.252,0.13,-0.072,0.058,0.202,0.12,-0.195,-0.075,0.315,0.003,-0.004,-0.001,0.007,0.002,-0.004,-0.002,0.006
0.119,-0.099,0.02,0.218,0.128,-0.141,-0.013,0.269,0.093,-0.193,-0.1,0.286,0.102,-0.108,-0.006,0.21,0.002,-0.004,-0.002,0.006,0.001,-0.003,-0.002,0.004
0.143,-0.154,-0.011,0.297,0.155,-0.094,0.061,0.249,0.106,-0.081,0.025,0.187,0.098,-0.097,0.001,0.195,0.002,-0.002,0.0,0.004,0.002,-0.003,-0.001,0.005
0.106,-0.082,0.024,0.188,0.084,-0.084,0.0,0.168,0.1,-0.096,0.004,0.196,0.13,-0.122,0.008,0.252,0.068,-0.088,-0.02,0.156,0.117,-0.083,0.034,0.2
0.084,-0.152,-0.068,0.236,0.102,-0.126,-0.024,0.228,0.001,-0.004,-0.003,0.005,0.001,-0.003,-0.002,0.004,0.072,-0.157,-0.085,0.229,0.118,-0.154,-0.036,0.272
0.103,-0.148,-0.045,0.251,0.132,-0.112,0.02,0.244,0.168,-0.165,0.003,0.333,0.112,-0.148,-0.036,0.26,0.002,-0.003,-0.001,0.005,0.001,-0.004,-0.003,0.005
0.11,-0.074,0.036,0.184,0.09,-0.083,0.007,0.173,0.07,-0.146,-0.076,0.216,0.072,-0.074,-0.002,0.146,0.002,-0.002,0.0,0.004,0.001,-0.004,-0.003,0.005
0.149,-0.052,0.097,0.201,0.143,-0.102,0.041,0.245,0.001,-0.004,-0.003,0.005,0.001,-0.004,-0.003,0.005,0.147,-0.07,0.077,0.217,0.128,-0.062,0.066,0.19
0.077,-0.135,-0.058,0.212,0.116,-0.166,-0.05,0.282,0.175,-0.067,0.108,0.242,0.12,-0.08,0.04,0.2,0.001,-0.003,-0.002,0.004,0.002,-0.004,-0.002,0.006
0.096,-0.098,-0.002,0.194,0.093,-0.099,-0.006,0.192,0.1,-0.101,-0.001,0.201,0.098,-0.11,-0.012,0.208,0.004,-0.002,0.002,0.006,0.002,-0.003,-0.001,0.005
0.122,-0.112,0.01,0.234,0.112,-0.132,-0.02,0.244,0.074,-0.167,-0.093,0.241,0.102,-0.092,0.01,0.194,0.001,-0.005,-0.004,0.006,0.001,-0.004,-0.003,0.005
0.064,-0.096,-0.032,0.16,0.119,-0.097,0.022,0.216,0.118,-0.098,0.02,0.216,0.132,-0.106,0.026,0.238,-0.002,-0.005,-0.007,0.003,0.002,-0.002,0.0,0.004
0.105,-0.07,0.035,0.175,0.096,-0.111,-0.015,0.207,0.082,-0.054,0.028,0.136,0.12,-0.069,0.051,0.189,0.003,-0.003,0.0,0.006,0.002,-0.003,-0.001,0.005
0.116,-0.124,-0.008,0.24,0.086,-0.164,-0.078,0.25,0.104,-0.117,-0.013,0.221,0.096,-0.135,-0.039,0.231,0.002,-0.003,-0.001,0.005,0.002,-0.002,0.0,0.004
0.091,-0.106,-0.015,0.197,0.058,-0.137,-0.079,0.195,0.07,-0.124,-0.054,0.194,0.118,-0.11,0.008,0.228,0.003,-0.003,0.0,0.006,0.002,-0.002,0.0,0.004
0.134,-0.117,0.017,0.251,0.121,-0.126,-0.005,0.247,0.104,-0.095,0.009,0.199,0.078,-0.132,-0.054,0.21,0.003,-0.002,0.001,0.005,0.002,-0.003,-0.001,0.005
0.071,-0.072,-0.001,0.143,0.072,-0.078,-0.006,0.15,0.106,-0.058,0.048,0.164,0.058,-0.062,-0.004,0.12,0.001,-0.004,-0.003,0.005,0.002,-0.004,-0.002,0.006
0.08,-0.124,-0.044,0.204,0.084,-0.116,-0.032,0.2,0.038,-0.148,-0.11,0.186,0.062,-0.122,-0.06,0.184,0.0,-0.004,-0.004,0.004,0.002,-0.003,-0.001,0.005
0.096,-0.09,0.006,0.186,0.071,-0.092,-0.021,0.163,0.052,-0.097,-0.045,0.149,0.106,-0.08,0.026,0.186,0.001,-0.004,-0.003,0.005,0.002,-0.004,-0.002,0.006
0.092,-0.097,-0.005,0.189,0.087,-0.078,0.009,0.165,0.096,-0.116,-0.02,0.212,0.121,-0.041,0.08,0.162,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
0.108,-0.101,0.007,0.209,0.092,-0.069,0.023,0.161,0.143,-0.082,0.061,0.225,0.12,-0.062,0.058,0.182,0.001,-0.004,-0.003,0.005,0.002,-0.002,0.0,0.004
