,max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.10368900000000002,-0.095877,0.007811999999999998,0.19956600000000002,0.09301500000000001,-0.116774,-0.023759000000000002,0.20978899999999998,0.090317,-0.084889,0.005427999999999999,0.175206,0.08437,-0.08475400000000001,-0.0003840000000000012,0.169124,0.039217999999999996,-0.04111,-0.0018920000000000005,0.080328,0.039784,-0.040462000000000005,-0.0006780000000000004,0.080246
std,0.4210056841244131,0.07394668338054779,0.424475372663713,0.4304049884679522,0.051274475588218814,0.4209835841242532,0.4204652184413342,0.42769323115871144,0.35803663044406464,0.07932815158967613,0.36088379005702914,0.37246376846993157,0.1401875945355425,0.10364463176495776,0.1628976678598997,0.1850780714091124,0.05204095249644011,0.05278281847273719,0.035858725356378525,0.09850241185443706,0.05079499459076135,0.04983350212391192,0.025912115964423936,0.0972398121402189
min,-0.001,-1.472,-1.427,0.003,-0.01,-12.289,-12.201,0.004,-0.011,-1.792,-1.696,0.002,-0.006,-2.88,-2.822,0.003,-0.002,-0.317,-0.198,0.002,-0.001,-0.234,-0.139,0.003
25%,0.068,-0.118,-0.029,0.154,0.071,-0.118,-0.029,0.162,0.044,-0.118,-0.04,0.142,0.061,-0.108,-0.02,0.14175,0.002,-0.086,-0.004,0.005,0.002,-0.085,-0.003,0.005
50%,0.091,-0.094,-0.002,0.186,0.092,-0.097,-0.002,0.19,0.084,-0.088,-0.002,0.176,0.084,-0.088,-0.001,0.178,0.003,-0.004,-0.002,0.006,0.003,-0.004,-0.001,0.006
75%,0.112,-0.07,0.024,0.216,0.116,-0.078,0.021,0.224,0.114,-0.048,0.03,0.214,0.108,-0.062,0.017,0.21025,0.082,-0.003,0.001,0.176,0.086,-0.003,0.001,0.177
max,13.312,0.001,13.211,13.413,0.785,-0.001,0.283,12.377,11.264,0.011,11.142,11.386,4.096,-0.001,4.02,4.172,0.264,0.001,0.175,0.581,0.26,-0.001,0.152,0.422
