,max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,1.019324,-0.9998340000000001,0.019489999999999997,2.019158,1.1601279999999998,-1.130266,0.029862000000000007,2.290394,0.9398110000000001,-0.955833,-0.016022,1.8956439999999999,0.8401160000000001,-0.859307,-0.019191000000000007,1.699423,0.39293599999999995,-0.39198799999999995,0.0009479999999999993,0.784924,0.38789199999999996,-0.38794599999999996,-5.400000000000049e-05,0.775838
std,0.5357513570123182,0.30210911333549734,0.44541488111233596,0.7471308114952062,0.7286685319440147,0.38648456057074204,0.6101941591558115,0.9941425341177904,0.46722499555939373,0.6490019095423291,0.452208396593816,1.0365871483769131,0.43616749836574326,0.6116600663667588,0.43401486082669843,0.9697274603817396,0.49646023473050555,0.49382939901481293,0.05718716348681466,0.9886405354487203,0.4939183390618956,0.49272671807270885,0.06002297761559186,0.9848183237972814
min,-0.001,-1.502,-0.186,0.003,-0.001,-1.516,-0.202,0.003,-0.002,-13.312,-12.194,0.002,-0.001,-12.288,-11.48,0.003,-0.004,-1.308,-0.18,0.002,-0.002,-1.486,-0.397,0.003
25%,1.0355,-1.144,-0.036,2.10575,0.966,-1.39,-0.035,1.9505000000000001,0.828,-1.218,-0.041,1.615,0.844,-1.026,-0.03,1.6665,0.002,-0.806,-0.004,0.005,0.002,-0.837,-0.003,0.005
50%,1.099,-1.0915,-0.001,2.194,1.336,-1.336,-0.0005,2.7035,1.163,-1.159,-0.001,2.362,0.978,-0.975,-0.001,1.96,0.003,-0.004,-0.002,0.006,0.003,-0.004,-0.001,0.006
75%,1.14625,-1.032,0.043,2.2752499999999998,1.396,-0.963,0.04425,2.77625,1.226,-0.848,0.046,2.43,1.024,-0.84975,0.03,2.02625,0.816,-0.003,0.001,1.597,0.84,-0.003,0.001,1.6672500000000001
max,14.336,-0.001,13.366,15.306,16.384,0.0,15.057,17.711,1.494,-0.001,0.248,14.43,1.49,-0.001,0.212,13.096,1.385,0.003,1.117,2.572,1.534,0.001,1.458,2.936
