max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.92,-0.92,0.0,1.84,1.152,-1.099,0.053,2.251,1.066,-1.052,0.014,2.118,0.754,-0.794,-0.04,1.548,0.752,-0.758,-0.006,1.51,0.67,-0.81,-0.14,1.48
0.988,-0.859,0.129,1.847,1.22,-1.148,0.072,2.368,1.05,-1.0,0.05,2.05,0.882,-0.729,0.153,1.611,0.632,-0.56,0.072,1.192,0.754,-0.764,-0.01,1.518
0.902,-0.964,-0.062,1.866,1.129,-1.173,-0.044,2.302,1.05,-1.06,-0.01,2.11,0.785,-0.76,0.025,1.545,0.511,-0.581,-0.07,1.092,0.639,-0.674,-0.035,1.313
1.083,-1.044,0.039,2.127,0.767,-0.792,-0.025,1.559,0.59,-0.611,-0.021,1.201,0.702,-0.762,-0.06,1.464,0.003,-0.002,0.001,0.005,0.002,-0.003,-0.001,0.005
0.928,-0.772,0.156,1.7,1.155,-0.996,0.159,2.151,1.034,-0.944,0.09,1.978,0.72,-0.676,0.044,1.396,0.622,-0.518,0.104,1.14,0.69,-0.624,0.066,1.314
0.001,-0.003,-0.002,0.004,0.001,-0.003,-0.002,0.004,0.918,-0.857,0.061,1.775,1.169,-1.11,0.059,2.279,1.05,-1.018,0.032,2.068,0.756,-0.713,0.043,1.469
0.612,-0.528,0.084,1.14,0.716,-0.722,-0.006,1.438,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005,0.986,-0.902,0.084,1.888,1.248,-1.157,0.091,2.405
1.11,-1.044,0.066,2.154,0.755,-0.756,-0.001,1.511,0.576,-0.599,-0.023,1.175,0.732,-0.698,0.034,1.43,0.003,-0.003,0.0,0.006,0.003,-0.003,0.0,0.006
1.115,-1.014,0.101,2.129,0.83,-0.784,0.046,1.614,0.706,-0.576,0.13,1.282,0.82,-0.723,0.097,1.543,0.003,-0.002,0.001,0.005,0.003,-0.002,0.001,0.005
1.01,-0.968,0.042,1.978,0.824,-0.619,0.205,1.443,0.625,-0.478,0.147,1.103,0.742,-0.619,0.123,1.361,0.002,-0.003,-0.001,0.005,0.002,-0.003,-0.001,0.005
1.116,-1.151,-0.035,2.267,0.872,-0.758,0.114,1.63,0.553,-0.55,0.003,1.103,0.72,-0.69,0.03,1.41,0.002,-0.003,-0.001,0.005,0.003,-0.002,0.001,0.005
0.551,-0.524,0.027,1.075,0.706,-0.686,0.02,1.392,0.002,-0.004,-0.002,0.006,0.003,-0.002,0.001,0.005,0.926,-1.06,-0.134,1.986,1.127,-1.26,-0.133,2.387
0.557,-0.628,-0.071,1.185,0.675,-0.69,-0.015,1.365,0.001,-0.004,-0.003,0.005,0.003,-0.003,0.0,0.006,0.82,-0.902,-0.082,1.722,1.073,-1.159,-0.086,2.232
0.002,-0.004,-0.002,0.006,0.003,-0.003,0.0,0.006,0.903,-0.898,0.005,1.801,1.226,-1.22,0.006,2.446,1.042,-1.044,-0.002,2.086,0.84,-0.816,0.024,1.656
1.02,-1.042,-0.022,2.062,0.653,-0.722,-0.069,1.375,0.538,-0.586,-0.048,1.124,0.651,-0.68,-0.029,1.331,0.002,-0.003,-0.001,0.005,0.002,-0.003,-0.001,0.005
0.002,-0.002,0.0,0.004,0.003,-0.002,0.001,0.005,0.887,-0.941,-0.054,1.828,1.165,-1.2,-0.035,2.365,0.966,-1.006,-0.04,1.972,0.704,-0.834,-0.13,1.538
0.532,-0.66,-0.128,1.192,0.684,-0.736,-0.052,1.42,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005,0.954,-0.914,0.04,1.868,1.244,-1.167,0.077,2.411
1.04,-1.117,-0.077,2.157,0.762,-0.857,-0.095,1.619,0.637,-0.658,-0.021,1.295,0.789,-0.772,0.017,1.561,0.004,-0.002,0.002,0.006,0.002,-0.002,0.0,0.004
1.066,-1.034,0.032,2.1,0.744,-0.724,0.02,1.468,0.557,-0.573,-0.016,1.13,0.668,-0.66,0.008,1.328,0.003,-0.002,0.001,0.005,0.002,-0.004,-0.002,0.006
0.549,-0.516,0.033,1.065,0.646,-0.719,-0.073,1.365,-0.002,-0.005,-0.007,0.003,0.002,-0.004,-0.002,0.006,0.956,-0.997,-0.041,1.953,1.132,-1.179,-0.047,2.311
1.04,-1.008,0.032,2.048,0.793,-0.713,0.08,1.506,0.657,-0.548,0.109,1.205,0.762,-0.691,0.071,1.453,-0.001,-0.005,-0.006,0.004,0.002,-0.003,-0.001,0.005
0.002,-0.003,-0.001,0.005,0.001,-0.004,-0.003,0.005,0.956,-1.026,-0.07,1.982,1.177,-1.19,-0.013,2.367,1.054,-1.065,-0.011,2.119,0.779,-0.774,0.005,1.553
0.625,-0.686,-0.061,1.311,0.759,-0.837,-0.078,1.596,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005,0.97,-1.092,-0.122,2.062,1.113,-1.145,-0.032,2.258
1.208,-1.188,0.02,2.396,0.99,-0.865,0.125,1.855,0.779,-0.654,0.125,1.433,0.785,-0.869,-0.084,1.654,0.0,-0.004,-0.004,0.004,0.0,-0.004,-0.004,0.004
0.003,-0.003,0.0,0.006,0.002,-0.004,-0.002,0.006,0.97,-1.075,-0.105,2.045,1.18,-1.276,-0.096,2.456,1.075,-1.08,-0.005,2.155,0.696,-0.93,-0.234,1.626
1.113,-1.132,-0.019,2.245,0.811,-0.774,0.037,1.585,0.655,-0.638,0.017,1.293,0.758,-0.638,0.12,1.396,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005
0.468,-0.56,-0.092,1.028,0.584,-0.65,-0.066,1.234,0.002,-0.005,-0.003,0.007,0.002,-0.003,-0.001,0.005,0.818,-0.92,-0.102,1.738,1.072,-1.125,-0.053,2.197
1.116,-1.006,0.11,2.122,0.764,-0.709,0.055,1.473,0.61,-0.494,0.116,1.104,0.682,-0.686,-0.004,1.368,0.004,-0.002,0.002,0.006,0.001,-0.004,-0.003,0.005
0.984,-0.9,0.084,1.884,1.22,-1.127,0.093,2.347,1.06,-0.934,0.126,1.994,0.771,-0.71,0.061,1.481,0.612,-0.593,0.019,1.205,0.683,-0.672,0.011,1.355
1.03,-1.038,-0.008,2.068,0.712,-0.766,-0.054,1.478,0.527,-0.616,-0.089,1.143,0.726,-0.752,-0.026,1.478,0.003,-0.003,0.0,0.006,0.002,-0.003,-0.001,0.005
0.97,-0.904,0.066,1.874,1.182,-1.168,0.014,2.35,1.066,-0.962,0.104,2.028,0.702,-0.664,0.038,1.366,0.574,-0.484,0.09,1.058,0.657,-0.644,0.013,1.301
1.062,-0.977,0.085,2.039,0.736,-0.65,0.086,1.386,0.641,-0.455,0.186,1.096,0.648,-0.607,0.041,1.255,0.003,-0.004,-0.001,0.007,0.003,-0.002,0.001,0.005
0.931,-0.882,0.049,1.813,1.158,-1.075,0.083,2.233,1.095,-0.984,0.111,2.079,0.79,-0.764,0.026,1.554,0.594,-0.556,0.038,1.15,0.696,-0.676,0.02,1.372
