max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.777,-0.82,-0.043,1.597,0.83,-0.798,0.032,1.628,1.052,-1.13,-0.078,2.182,1.338,-1.377,-0.039,2.715,1.131,-1.248,-0.117,2.379,0.907,-0.989,-0.082,1.896
1.067,-1.066,0.001,2.133,1.357,-1.349,0.008,2.706,1.154,-1.234,-0.08,2.388,0.916,-0.974,-0.058,1.89,0.002,-0.003,-0.001,0.005,0.003,-0.002,0.001,0.005
1.052,-1.106,-0.054,2.158,1.383,-1.452,-0.069,2.835,1.142,-1.226,-0.084,2.368,1.02,-0.967,0.053,1.987,0.002,-0.003,-0.001,0.005,0.003,-0.004,-0.001,0.007
1.234,-1.202,0.032,2.436,0.982,-0.98,0.002,1.962,0.003,-0.004,-0.001,0.007,0.002,-0.003,-0.001,0.005,0.864,-0.758,0.106,1.622,0.87,-0.863,0.007,1.733
1.116,-1.118,-0.002,2.234,1.402,-1.391,0.011,2.793,1.228,-1.21,0.018,2.438,0.978,-1.024,-0.046,2.002,-0.001,-0.004,-0.005,0.003,0.001,-0.003,-0.002,0.004
1.169,-1.178,-0.009,2.347,0.984,-0.987,-0.003,1.971,0.002,-0.003,-0.001,0.005,0.003,-0.004,-0.001,0.007,0.767,-0.754,0.013,1.521,0.76,-0.76,0.0,1.52
1.075,-1.117,-0.042,2.192,1.376,-1.362,0.014,2.738,1.168,-1.165,0.003,2.333,0.895,-1.006,-0.111,1.901,0.003,-0.002,0.001,0.005,0.002,-0.003,-0.001,0.005
1.044,-1.089,-0.045,2.133,1.362,-1.365,-0.003,2.727,1.131,-1.268,-0.137,2.399,0.898,-0.952,-0.054,1.85,0.002,-0.003,-0.001,0.005,0.003,-0.003,0.0,0.006
1.184,-1.256,-0.072,2.44,0.968,-1.004,-0.036,1.972,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006,0.746,-0.78,-0.034,1.526,0.816,-0.81,0.006,1.626
1.468,-1.415,0.053,2.883,1.248,-1.202,0.046,2.45,0.927,-1.004,-0.077,1.931,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005,0.789,-0.748,0.041,1.537
1.232,-1.198,0.034,2.43,0.946,-0.98,-0.034,1.926,0.0,-0.005,-0.005,0.005,0.003,-0.003,0.0,0.006,0.812,-0.756,0.056,1.568,0.826,-0.862,-0.036,1.688
1.126,-1.014,0.112,2.14,1.339,-1.363,-0.024,2.702,1.122,-1.19,-0.068,2.312,0.933,-0.988,-0.055,1.921,0.003,-0.003,0.0,0.006,0.002,-0.002,0.0,0.004
1.234,-1.129,0.105,2.363,1.006,-0.959,0.047,1.965,-0.001,-0.005,-0.006,0.004,0.003,-0.002,0.001,0.005,0.818,-0.668,0.15,1.486,0.84,-0.782,0.058,1.622
0.003,-0.002,0.001,0.005,0.002,-0.002,0.0,0.004,0.748,-0.828,-0.08,1.576,0.844,-0.875,-0.031,1.719,1.135,-1.14,-0.005,2.275,1.395,-1.398,-0.003,2.793
1.128,-1.09,0.038,2.218,1.419,-1.338,0.081,2.757,1.242,-1.19,0.052,2.432,0.996,-0.96,0.036,1.956,-0.001,-0.005,-0.006,0.004,0.002,-0.003,-0.001,0.005
1.11,-1.066,0.044,2.176,1.448,-1.361,0.087,2.809,1.24,-1.175,0.065,2.415,0.976,-0.966,0.01,1.942,0.003,-0.004,-0.001,0.007,0.003,-0.002,0.001,0.005
1.2,-1.31,-0.11,2.51,0.97,-1.014,-0.044,1.984,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005,0.716,-0.818,-0.102,1.534,0.773,-0.824,-0.051,1.597
1.212,-1.143,0.069,2.355,1.004,-0.961,0.043,1.965,-0.001,-0.006,-0.007,0.005,0.002,-0.003,-0.001,0.005,0.792,-0.742,0.05,1.534,0.828,-0.819,0.009,1.647
0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005,0.738,-0.764,-0.026,1.502,0.791,-0.846,-0.055,1.637,1.034,-1.147,-0.113,2.181,1.355,-1.298,0.057,2.653
1.087,-1.076,0.011,2.163,1.292,-1.31,-0.018,2.602,1.186,-1.119,0.067,2.305,0.936,-0.946,-0.01,1.882,0.002,-0.002,0.0,0.004,0.003,-0.003,0.0,0.006
1.126,-1.036,0.09,2.162,1.435,-1.389,0.046,2.824,1.25,-1.142,0.108,2.392,1.008,-0.949,0.059,1.957,0.002,-0.003,-0.001,0.005,0.001,-0.004,-0.003,0.005
1.14,-1.098,0.042,2.238,1.357,-1.422,-0.065,2.779,1.224,-1.266,-0.042,2.49,1.054,-1.016,0.038,2.07,0.003,-0.003,0.0,0.006,0.002,-0.003,-0.001,0.005
1.133,-1.198,-0.065,2.331,1.365,-1.341,0.024,2.706,1.28,-1.153,0.127,2.433,1.078,-1.006,0.072,2.084,0.001,-0.004,-0.003,0.005,0.002,-0.004,-0.002,0.006
1.129,-1.077,0.052,2.206,1.422,-1.354,0.068,2.776,1.256,-1.162,0.094,2.418,0.946,-0.958,-0.012,1.904,0.002,-0.003,-0.001,0.005,0.001,-0.003,-0.002,0.004
0.003,-0.002,0.001,0.005,0.001,-0.004,-0.003,0.005,0.722,-0.843,-0.121,1.565,0.78,-0.817,-0.037,1.597,1.087,-1.119,-0.032,2.206,1.338,-1.448,-0.11,2.786
1.218,-1.224,-0.006,2.442,1.068,-1.024,0.044,2.092,0.002,-0.003,-0.001,0.005,0.001,-0.004,-0.003,0.005,0.828,-0.772,0.056,1.6,0.84,-0.808,0.032,1.648
1.125,-1.044,0.081,2.169,1.4,-1.256,0.144,2.656,1.232,-1.044,0.188,2.276,0.99,-0.926,0.064,1.916,0.003,-0.003,0.0,0.006,0.002,-0.004,-0.002,0.006
1.095,-1.114,-0.019,2.209,1.384,-1.381,0.003,2.765,1.22,-1.27,-0.05,2.49,0.988,-1.026,-0.038,2.014,0.002,-0.003,-0.001,0.005,0.003,-0.002,0.001,0.005
1.145,-1.11,0.035,2.255,1.372,-1.413,-0.041,2.785,1.212,-1.198,0.014,2.41,0.954,-0.989,-0.035,1.943,0.002,-0.004,-0.002,0.006,0.003,-0.003,0.0,0.006
1.161,-1.058,0.103,2.219,1.476,-1.383,0.093,2.859,1.312,-1.185,0.127,2.497,1.028,-0.993,0.035,2.021,0.002,-0.003,-0.001,0.005,0.002,-0.003,-0.001,0.005
0.003,-0.003,0.0,0.006,0.003,-0.002,0.001,0.005,0.784,-0.764,0.02,1.548,0.814,-0.833,-0.019,1.647,1.136,-1.036,0.1,2.172,1.412,-1.329,0.083,2.741
1.04,-1.081,-0.041,2.121,1.349,-1.391,-0.042,2.74,1.163,-1.208,-0.045,2.371,0.962,-1.038,-0.076,2.0,0.003,-0.002,0.001,0.005,0.003,-0.004,-0.001,0.007
1.099,-1.095,0.004,2.194,1.358,-1.4,-0.042,2.758,1.226,-1.17,0.056,2.396,1.046,-0.978,0.068,2.024,0.001,-0.004,-0.003,0.005,0.001,-0.003,-0.002,0.004
1.124,-1.121,0.003,2.245,1.408,-1.358,0.05,2.766,1.179,-1.222,-0.043,2.401,0.912,-1.028,-0.116,1.94,0.001,-0.005,-0.004,0.006,0.002,-0.003,-0.001,0.005
1.048,-1.094,-0.046,2.142,1.39,-1.404,-0.014,2.794,1.186,-1.192,-0.006,2.378,1.008,-0.99,0.018,1.998,0.001,-0.003,-0.002,0.004,0.001,-0.004,-0.003,0.005
1.135,-1.126,0.009,2.261,1.458,-1.395,0.063,2.853,1.22,-1.298,-0.078,2.518,1.028,-0.988,0.04,2.016,0.001,-0.004,-0.003,0.005,0.001,-0.004,-0.003,0.005
0.78,-0.849,-0.069,1.629,0.792,-0.816,-0.024,1.608,1.103,-1.151,-0.048,2.254,1.421,-1.347,0.074,2.768,1.278,-1.206,0.072,2.484,1.038,-1.058,-0.02,2.096
1.23,-1.091,0.139,2.321,1.466,-1.405,0.061,2.871,1.288,-1.198,0.09,2.486,1.026,-1.068,-0.042,2.094,-0.001,-0.005,-0.006,0.004,0.002,-0.003,-0.001,0.005
1.216,-1.19,0.026,2.406,1.062,-0.993,0.069,2.055,0.001,-0.004,-0.003,0.005,0.003,-0.003,0.0,0.006,0.742,-0.732,0.01,1.474,0.797,-0.776,0.021,1.573
1.068,-1.016,0.052,2.084,1.405,-1.38,0.025,2.785,1.218,-1.226,-0.008,2.444,0.97,-1.01,-0.04,1.98,0.0,-0.004,-0.004,0.004,0.002,-0.004,-0.002,0.006
1.288,-1.2,0.088,2.488,1.106,-1.06,0.046,2.166,0.001,-0.004,-0.003,0.005,0.003,-0.002,0.001,0.005,0.858,-0.814,0.044,1.672,0.84,-0.778,0.062,1.618
1.196,-1.075,0.121,2.271,1.402,-1.33,0.072,2.732,1.266,-1.21,0.056,2.476,1.052,-1.012,0.04,2.064,0.002,-0.003,-0.001,0.005,0.003,0.0,0.003,0.003
1.14,-1.315,-0.175,2.455,1.074,-1.04,0.034,2.114,0.003,-0.003,0.0,0.006,0.002,-0.003,-0.001,0.005,0.809,-0.852,-0.043,1.661,0.818,-0.837,-0.019,1.655
0.003,-0.003,0.0,0.006,0.003,-0.002,0.001,0.005,0.864,-0.845,0.019,1.709,0.826,-0.886,-0.06,1.712,1.08,-1.153,-0.073,2.233,1.37,-1.376,-0.006,2.746
