,ch1,ch2,ch3,ch4,ch5,ch6
count,895.0,920.0,823.0,806.0,402.0,385.0
mean,1.4404770949720669,1.6084152173913042,1.715190765492102,2.07974317617866,2.127554726368159,1.3647974025974026
std,0.15699496023646686,0.32530622617931854,0.3958674866297827,0.3301583054087785,0.4062804189141621,0.15913951718770525
min,1.067,1.106,1.274,1.486,1.571,1.085
25%,1.3445,1.41575,1.491,1.934,1.80225,1.21
50%,1.43,1.4815,1.544,1.984,1.8980000000000001,1.388
75%,1.545,1.5765,1.616,2.0467500000000003,2.62875,1.513
max,1.927,2.426,2.697,2.974,2.896,1.701
