max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
1.418,-1.838,-0.42,3.256,1.78,-1.931,-0.151,3.711,1.657,-1.62,0.037,3.277,1.334,-1.343,-0.009,2.677,0.003,-0.003,0.0,0.006,0.002,-0.004,-0.002,0.006
0.557,-0.666,-0.109,1.223,0.698,-0.628,0.07,1.326,0.001,-0.004,-0.003,0.005,0.002,-0.004,-0.002,0.006,1.092,-0.941,0.151,2.033,1.132,-0.886,0.246,2.018
0.679,-0.697,-0.018,1.376,0.772,-0.86,-0.088,1.632,0.001,-0.004,-0.003,0.005,0.002,-0.002,0.0,0.004,1.002,-1.101,-0.099,2.103,0.956,-1.069,-0.113,2.025
1.136,-0.888,0.248,2.024,1.088,-0.968,0.12,2.056,0.834,-0.852,-0.018,1.686,0.626,-0.691,-0.065,1.317,0.675,-0.678,-0.003,1.353,0.864,-0.693,0.171,1.557
0.774,-0.692,0.082,1.466,0.558,-0.584,-0.026,1.142,0.556,-0.538,0.018,1.094,0.781,-0.701,0.08,1.482,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005
0.718,-0.845,-0.127,1.563,0.694,-0.788,-0.094,1.482,0.556,-0.602,-0.046,1.158,0.712,-0.774,-0.062,1.486,0.001,-0.004,-0.003,0.005,0.001,-0.004,-0.003,0.005
0.758,-0.668,0.09,1.426,0.616,-0.684,-0.068,1.3,0.528,-0.638,-0.11,1.166,0.795,-0.592,0.203,1.387,0.002,-0.003,-0.001,0.005,0.002,-0.004,-0.002,0.006
0.722,-0.705,0.017,1.427,0.592,-0.658,-0.066,1.25,0.488,-0.652,-0.164,1.14,0.646,-0.654,-0.008,1.3,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005
0.704,-0.798,-0.094,1.502,0.608,-0.713,-0.105,1.321,0.496,-0.624,-0.128,1.12,0.686,-0.733,-0.047,1.419,0.001,-0.004,-0.003,0.005,0.002,-0.004,-0.002,0.006
0.918,-0.752,0.166,1.67,0.88,-0.66,0.22,1.54,0.626,-0.56,0.066,1.186,0.834,-0.703,0.131,1.537,0.001,-0.004,-0.003,0.005,0.001,-0.004,-0.003,0.005
