,max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.8661,-0.8211400000000001,0.04495999999999999,1.6872399999999999,1.1117,-1.0524200000000001,0.059280000000000006,2.1641199999999996,1.0732000000000002,-1.0407600000000001,0.032440000000000004,2.11396,0.97944,-0.9311400000000001,0.04829999999999999,1.91058,0.34753999999999996,-0.30446,0.04308,0.6519999999999999,0.28865999999999997,-0.2506,0.03806,0.53926
std,0.22252505018353255,0.24041859838410917,0.1317714409614664,0.44415457687979004,0.27668506003935156,0.277500291597567,0.1355170054845893,0.5373613400645029,0.4384117438468741,0.4349196294508132,0.10599175170064618,0.8668827089176528,0.40483950763083326,0.4029456341513488,0.11542189690745115,0.7994987227976678,0.5222042062844998,0.48781366507790114,0.13362845841346513,1.0017296266448144,0.4593004712137174,0.413630417702784,0.13770856686406663,0.8632093843468628
min,0.146,-1.347,-0.13,0.006,0.11,-1.316,-0.149,0.006,0.001,-1.383,-0.179,0.003,0.001,-1.284,-0.084,0.004,-0.001,-1.288,-0.107,0.002,0.0,-1.127,-0.099,0.003
25%,0.7535000000000001,-0.855,-0.03325,1.538,1.0899999999999999,-1.2229999999999999,-0.01725,2.1414999999999997,0.893,-1.31475,-0.015,1.693,1.0630000000000002,-1.12675,-0.0055,2.0999999999999996,0.002,-0.6995,-0.003,0.005,0.003,-0.61275,-0.001,0.00425
50%,0.7985,-0.808,0.02,1.619,1.205,-1.1535,0.023,2.4115,1.274,-1.249,0.0125,2.553,1.1185,-1.0725,0.0325,2.1985,0.004,-0.004,0.0005,0.006,0.004,-0.003,0.001,0.005
75%,0.874,-0.714,0.08499999999999999,1.70125,1.2695,-1.0195,0.10575,2.4715,1.332,-0.8365,0.0775,2.61275,1.1520000000000001,-1.0190000000000001,0.07775,2.2619999999999996,0.6925,-0.002,0.06175,1.39,0.6,-0.00125,0.0375,1.26
max,1.373,0.14,0.537,2.72,1.518,0.104,0.584,2.598,1.448,0.012,0.348,2.723,1.326,0.009,0.7,2.593,1.416,0.103,0.854,2.646,1.581,0.078,0.911,2.304
