max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.71,-0.758,-0.048,1.468,0.748,-0.739,0.009,1.487,1.168,-1.065,0.103,2.233,1.377,-1.494,-0.117,2.871,1.24,-1.338,-0.098,2.578,1.086,-0.868,0.218,1.954
0.816,-0.678,0.138,1.494,0.898,-0.75,0.148,1.648,1.15,-1.101,0.049,2.251,1.448,-1.534,-0.086,2.982,1.384,-1.282,0.102,2.666,1.075,-1.038,0.037,2.113
1.21,-1.046,0.164,2.256,1.518,-1.398,0.12,2.916,1.35,-1.094,0.256,2.444,1.02,-0.871,0.149,1.891,0.002,-0.004,-0.002,0.006,0.004,-0.002,0.002,0.006
0.826,-0.77,0.056,1.596,0.876,-0.814,0.062,1.69,1.216,-1.108,0.108,2.324,1.47,-1.44,0.03,2.91,1.382,-1.262,0.12,2.644,1.022,-0.948,0.074,1.97
1.144,-1.158,-0.014,2.302,1.417,-1.556,-0.139,2.973,1.175,-1.315,-0.14,2.49,1.03,-1.094,-0.064,2.124,0.003,-0.003,0.0,0.006,0.003,-0.002,0.001,0.005
0.629,-0.8,-0.171,1.429,0.718,-0.832,-0.114,1.55,0.978,-1.298,-0.32,2.276,1.312,-1.348,-0.036,2.66,1.094,-1.21,-0.116,2.304,0.907,-0.942,-0.035,1.849
0.814,-0.77,0.044,1.584,0.856,-0.9,-0.044,1.756,1.2,-1.2,0.0,2.4,1.502,-1.456,0.046,2.958,1.278,-1.206,0.072,2.484,1.024,-1.058,-0.034,2.082
1.103,-1.133,-0.03,2.236,1.326,-1.542,-0.216,2.868,1.178,-1.234,-0.056,2.412,0.893,-0.957,-0.064,1.85,0.003,-0.003,0.0,0.006,0.002,-0.004,-0.002,0.006
1.056,-1.044,0.012,2.1,1.296,-1.384,-0.088,2.68,1.026,-1.18,-0.154,2.206,0.968,-0.865,0.103,1.833,0.002,-0.004,-0.002,0.006,0.001,-0.003,-0.002,0.004
1.168,-1.147,0.021,2.315,1.54,-1.418,0.122,2.958,1.28,-1.182,0.098,2.462,0.932,-0.96,-0.028,1.892,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
