max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005,0.126,-0.142,-0.016,0.268,0.112,-0.122,-0.01,0.234,0.168,-0.13,0.038,0.298,0.096,-0.086,0.01,0.182
0.117,-0.144,-0.027,0.261,0.147,-0.12,0.027,0.267,0.096,-0.101,-0.005,0.197,0.112,-0.106,0.006,0.218,0.002,-0.004,-0.002,0.006,0.001,-0.003,-0.002,0.004
0.138,-0.139,-0.001,0.277,0.056,-0.068,-0.012,0.124,0.082,-0.12,-0.038,0.202,0.132,-0.132,0.0,0.264,0.123,-0.127,-0.004,0.25,0.1,-0.106,-0.006,0.206
0.12,-0.124,-0.004,0.244,0.122,-0.118,0.004,0.24,0.12,-0.049,0.071,0.169,0.132,-0.137,-0.005,0.269,0.003,-0.002,0.001,0.005,0.002,-0.003,-0.001,0.005
0.112,-0.132,-0.02,0.244,0.154,-0.129,0.025,0.283,0.168,-0.03,0.138,0.198,0.122,-0.066,0.056,0.188,0.002,-0.003,-0.001,0.005,0.002,-0.003,-0.001,0.005
0.068,-0.088,-0.02,0.156,0.077,-0.076,0.001,0.153,0.114,-0.111,0.003,0.225,0.096,-0.1,-0.004,0.196,0.152,-0.142,0.01,0.294,0.096,-0.108,-0.012,0.204
0.141,-0.046,0.095,0.187,0.119,-0.096,0.023,0.215,0.064,-0.078,-0.014,0.142,0.068,-0.072,-0.004,0.14,0.158,-0.085,0.073,0.243,0.106,-0.072,0.034,0.178
0.23,-0.067,0.163,0.297,0.194,-0.084,0.11,0.278,0.15,-0.117,0.033,0.267,0.13,-0.13,0.0,0.26,0.14,-0.118,0.022,0.258,0.222,-0.124,0.098,0.346
0.149,-0.136,0.013,0.285,0.116,-0.138,-0.022,0.254,0.142,-0.16,-0.018,0.302,0.202,-0.166,0.036,0.368,0.202,-0.117,0.085,0.319,0.122,-0.148,-0.026,0.27
0.151,-0.138,0.013,0.289,0.122,-0.171,-0.049,0.293,0.068,-0.137,-0.069,0.205,0.059,-0.072,-0.013,0.131,0.001,-0.004,-0.003,0.005,0.001,-0.004,-0.003,0.005
0.155,-0.106,0.049,0.261,0.141,-0.078,0.063,0.219,0.124,-0.12,0.004,0.244,0.143,-0.111,0.032,0.254,0.002,-0.003,-0.001,0.005,0.001,-0.004,-0.003,0.005
0.128,-0.159,-0.031,0.287,0.16,-0.1,0.06,0.26,0.108,-0.095,0.013,0.203,0.066,-0.088,-0.022,0.154,0.09,-0.086,0.004,0.176,0.076,-0.084,-0.008,0.16
0.11,-0.095,0.015,0.205,0.136,-0.118,0.018,0.254,0.128,-0.133,-0.005,0.261,0.126,-0.118,0.008,0.244,0.147,-0.14,0.007,0.287,0.092,-0.13,-0.038,0.222
0.084,-0.127,-0.043,0.211,0.102,-0.193,-0.091,0.295,0.046,-0.138,-0.092,0.184,0.122,-0.141,-0.019,0.263,0.001,-0.004,-0.003,0.005,0.003,-0.003,0.0,0.006
0.07,-0.104,-0.034,0.174,0.07,-0.082,-0.012,0.152,0.116,-0.086,0.03,0.202,0.098,-0.096,0.002,0.194,0.112,-0.102,0.01,0.214,0.116,-0.102,0.014,0.218
0.121,-0.118,0.003,0.239,0.134,-0.122,0.012,0.256,0.09,-0.069,0.021,0.159,0.087,-0.1,-0.013,0.187,0.118,-0.178,-0.06,0.296,0.148,-0.138,0.01,0.286
0.106,-0.191,-0.085,0.297,0.074,-0.163,-0.089,0.237,0.11,-0.158,-0.048,0.268,0.14,-0.142,-0.002,0.282,0.103,-0.148,-0.045,0.251,0.086,-0.104,-0.018,0.19
0.17,-0.082,0.088,0.252,0.146,-0.113,0.033,0.259,0.098,-0.102,-0.004,0.2,0.14,-0.099,0.041,0.239,0.151,-0.097,0.054,0.248,0.168,-0.168,0.0,0.336
0.136,-0.108,0.028,0.244,0.143,-0.092,0.051,0.235,0.126,-0.096,0.03,0.222,0.164,-0.146,0.018,0.31,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005
0.098,-0.148,-0.05,0.246,0.143,-0.15,-0.007,0.293,0.13,-0.144,-0.014,0.274,0.091,-0.117,-0.026,0.208,0.003,-0.004,-0.001,0.007,0.002,-0.003,-0.001,0.005
0.026,-0.136,-0.11,0.162,0.124,-0.104,0.02,0.228,0.001,-0.003,-0.002,0.004,0.002,-0.004,-0.002,0.006,0.094,-0.117,-0.023,0.211,0.084,-0.206,-0.122,0.29
