,max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.11693999999999997,-0.11116,0.005780000000000002,0.22810000000000002,0.12073999999999999,-0.11870000000000001,0.002040000000000001,0.23944,0.10966000000000001,-0.11044000000000001,-0.0007800000000000004,0.22010000000000002,0.11346,-0.11257999999999999,0.0008800000000000002,0.22604000000000002,0.0707,-0.06739999999999999,0.0033000000000000013,0.1381,0.05864,-0.06314,-0.004499999999999999,0.12178000000000001
std,0.04356576543993399,0.0404032530514915,0.057636542405041645,0.06114594451484289,0.044208139429710615,0.04095604911589586,0.05234187460088427,0.06725952174455392,0.04786614414282856,0.049321171510657305,0.05574332210394061,0.07962520624392602,0.05066021664995529,0.04743764543146753,0.04255639235898932,0.08844506192881453,0.07321738669391113,0.06750691574549521,0.04138532225269224,0.13462241224087101,0.06252306023560018,0.06435234959159754,0.032444143523594385,0.12267067077907316
min,0.002,-0.194,-0.11,0.006,0.002,-0.198,-0.132,0.005,0.001,-0.24,-0.132,0.004,0.001,-0.261,-0.116,0.004,0.001,-0.214,-0.146,0.005,0.001,-0.206,-0.122,0.004
25%,0.093,-0.136,-0.02625,0.20425,0.09475,-0.1475,-0.02175,0.21925,0.09,-0.13625,-0.034999999999999996,0.19725,0.087,-0.13625,-0.013,0.19425,0.002,-0.12475,-0.003,0.005,0.002,-0.1195,-0.00525,0.005
50%,0.118,-0.108,0.008,0.2415,0.128,-0.11699999999999999,0.009000000000000001,0.254,0.11,-0.1145,-0.0035,0.223,0.122,-0.1175,-0.0005,0.2415,0.026,-0.07100000000000001,-0.001,0.16899999999999998,0.028,-0.03799999999999999,-0.001,0.0835
75%,0.14175,-0.0885,0.04375,0.26175000000000004,0.14675,-0.099,0.036,0.27575000000000005,0.14425,-0.09125,0.03,0.271,0.142,-0.0905,0.025750000000000002,0.2715,0.14075,-0.004,0.01,0.25075000000000003,0.1135,-0.003,0.00075,0.22875
max,0.23,-0.004,0.163,0.326,0.21,-0.003,0.129,0.362,0.194,-0.003,0.138,0.348,0.252,-0.002,0.092,0.428,0.202,-0.001,0.1,0.412,0.222,-0.002,0.098,0.346
