max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.769,-0.815,-0.046,1.584,0.753,-0.583,0.17,1.336,0.891,-0.873,0.018,1.764,1.234,-1.185,0.049,2.419,1.256,-1.331,-0.075,2.587,1.098,-1.144,-0.046,2.242
0.978,-0.924,0.054,1.902,1.278,-1.129,0.149,2.407,1.318,-1.141,0.177,2.459,1.123,-0.998,0.125,2.121,0.002,-0.003,-0.001,0.005,0.003,-0.002,0.001,0.005
0.872,-0.916,-0.044,1.788,1.152,-1.236,-0.084,2.388,1.196,-1.116,0.08,2.312,1.16,-0.95,0.21,2.11,0.003,-0.002,0.001,0.005,0.002,-0.003,-0.001,0.005
0.742,-0.866,-0.124,1.608,0.644,-0.754,-0.11,1.398,0.894,-0.939,-0.045,1.833,1.179,-1.252,-0.073,2.431,1.276,-1.29,-0.014,2.566,1.03,-1.032,-0.002,2.062
1.306,-1.346,-0.04,2.652,1.093,-1.143,-0.05,2.236,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005,0.736,-0.89,-0.154,1.626,0.781,-0.718,0.063,1.499
0.756,-0.88,-0.124,1.636,0.692,-0.732,-0.04,1.424,0.787,-0.904,-0.117,1.691,1.185,-1.252,-0.067,2.437,1.22,-1.356,-0.136,2.576,1.004,-1.169,-0.165,2.173
0.876,-0.92,-0.044,1.796,1.172,-1.131,0.041,2.303,1.246,-1.401,-0.155,2.647,1.146,-1.071,0.075,2.217,0.002,-0.003,-0.001,0.005,0.002,-0.002,0.0,0.004
0.905,-0.916,-0.011,1.821,1.29,-1.144,0.146,2.434,1.45,-1.147,0.303,2.597,1.188,-1.036,0.152,2.224,0.003,-0.002,0.001,0.005,0.003,-0.004,-0.001,0.007
0.905,-0.792,0.113,1.697,1.1,-1.2,-0.1,2.3,1.172,-1.194,-0.022,2.366,1.02,-1.05,-0.03,2.07,0.004,-0.002,0.002,0.006,0.002,-0.003,-0.001,0.005
1.332,-1.19,0.142,2.522,1.151,-1.137,0.014,2.288,0.002,-0.002,0.0,0.004,0.001,-0.003,-0.002,0.004,0.946,-0.774,0.172,1.72,0.838,-0.701,0.137,1.539
0.767,-0.644,0.123,1.411,0.929,-0.827,0.102,1.756,1.292,-1.188,0.104,2.48,1.339,-1.222,0.117,2.561,1.142,-1.093,0.049,2.235,0.003,-0.002,0.001,0.005
0.777,-0.72,0.057,1.497,0.679,-0.75,-0.071,1.429,0.838,-0.832,0.006,1.67,1.171,-1.246,-0.075,2.417,1.385,-1.308,0.077,2.693,1.171,-1.116,0.055,2.287
0.938,-0.819,0.119,1.757,1.152,-1.123,0.029,2.275,1.266,-1.212,0.054,2.478,1.06,-1.004,0.056,2.064,0.0,-0.005,-0.005,0.005,0.002,-0.003,-0.001,0.005
0.868,-0.861,0.007,1.729,0.814,-0.802,0.012,1.616,0.984,-0.967,0.017,1.951,1.284,-1.19,0.094,2.474,1.276,-1.226,0.05,2.502,1.079,-1.122,-0.043,2.201
0.925,-1.006,-0.081,1.931,1.242,-1.353,-0.111,2.595,1.317,-1.353,-0.036,2.67,1.11,-1.119,-0.009,2.229,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
0.794,-0.754,0.04,1.548,0.702,-0.691,0.011,1.393,0.872,-0.878,-0.006,1.75,1.24,-1.226,0.014,2.466,1.394,-1.224,0.17,2.618,1.082,-1.05,0.032,2.132
0.888,-0.999,-0.111,1.887,1.192,-1.282,-0.09,2.474,1.169,-1.341,-0.172,2.51,1.022,-1.099,-0.077,2.121,-0.002,-0.006,-0.008,0.004,0.003,-0.002,0.001,0.005
0.84,-0.894,-0.054,1.734,1.228,-1.254,-0.026,2.482,1.306,-1.188,0.118,2.494,1.138,-1.0,0.138,2.138,0.002,-0.004,-0.002,0.006,0.003,-0.003,0.0,0.006
0.885,-0.985,-0.1,1.87,1.266,-1.254,0.012,2.52,1.468,-1.306,0.162,2.774,1.326,-1.266,0.06,2.592,-0.002,-0.006,-0.008,0.004,0.002,-0.003,-0.001,0.005
0.994,-0.786,0.208,1.78,0.87,-0.776,0.094,1.646,1.024,-0.821,0.203,1.845,1.369,-1.352,0.017,2.721,1.458,-1.3,0.158,2.758,1.308,-1.062,0.246,2.37
0.936,-1.062,-0.126,1.998,0.805,-0.776,0.029,1.581,0.916,-0.932,-0.016,1.848,1.401,-1.288,0.113,2.689,1.522,-1.347,0.175,2.869,1.258,-1.25,0.008,2.508
