,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,16.452775659129685,30.082885556435148,18.904127640647012,11.519190665345155,6.549955013369464,8.18561707092012,11.640984983981006,21.288707848311116,13.377136156008708,8.147761200100822,4.632077713092254,5.791131345040601
std,0.6710113373242043,1.2325183538695736,0.7963370479986362,0.4943639400914212,0.28651313505449544,0.3475241213291357,0.4246046936355343,0.7852113938630507,0.5064664162724942,0.3132409632728391,0.18008923721317907,0.2188907370236318
min,15.016425649466816,27.35048539172247,17.230670793572934,10.369280778824164,5.873907000090926,7.390188610596636,10.78443796602415,19.66944356572769,12.342942653687832,7.487295504969424,4.244461225056934,5.326888975270227
25%,15.93652954013299,29.248385063454442,18.33788074860288,11.163048940038777,6.318353368853156,7.898199216461894,11.284300811641117,20.596814306183585,12.952043242754444,7.922835535563673,4.494983172172611,5.618989584253837
50%,16.546023629903395,30.209596323806974,19.08681999743346,11.563846411585166,6.59511828265426,8.253321160903472,11.764761640219653,21.483068161237377,13.487052839419304,8.225583224339466,4.676132313026306,5.842087652991477
75%,16.93759600749114,31.065610252116734,19.516549287179828,11.886360548743278,6.776482086556622,8.447558731215384,11.989403575595956,21.886233145890785,13.771660058480116,8.404678783261264,4.775147037935794,5.961070518305245
max,17.677398507383373,32.33452344214193,20.399534410528478,12.361778962411409,7.050454341942209,8.820856334703201,12.294855097932539,22.546635283729376,14.170080660525555,8.604092845364207,4.9099795283487815,6.13774301998002
