,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,0.8475261615153379,1.1803922995833662,0.637413892054838,0.45240177821603084,0.37375771213004794,0.8992357324020658,0.5987147664081554,0.8330396793349535,0.4500368808813027,0.3191328232068078,0.26425630773384445,0.6353760527984716
std,0.5580631282811559,0.8924932594084509,0.25319501803151734,0.24286703264813597,0.2881698883646345,0.848748487839944,0.3909825348381726,0.6230067066952218,0.175342489817556,0.17019968958210252,0.20430894556114418,0.5992644188885458
min,5.789521786839864e-06,4.395636871345346e-06,2.75906869996019e-06,1.152148017719754e-06,2.2818333589336984e-06,4.93783191384679e-06,4.754990078754088e-06,3.45870685131531e-06,2.049804275666825e-06,9.072503425115448e-07,1.5461875757156211e-06,4.101056582251246e-06
25%,0.4684843556912944,0.5922439536530828,0.6262940458923951,0.255893380207749,4.717746576119746e-06,1.180354786148642e-05,0.33148696674738176,0.4202600931531365,0.4422704643936661,0.17954241273865984,3.9962657391056145e-06,9.179012098183008e-06
50%,0.5607315491771374,0.6869465467473437,0.6811212928869743,0.5095625534472363,0.5526869036338615,1.0627087169592462,0.3962780622596775,0.48406769840497155,0.4770586714943241,0.3609733028880071,0.389180943852079,0.7555834442818277
75%,1.4039532494220262,2.251326890663815,0.7579555322537919,0.6714244186775586,0.6097360131323967,1.1951492487854867,0.9939419056905168,1.5931222116298331,0.5384003987729931,0.47255168368183276,0.4295742639918584,0.8455819186856158
max,3.8805289243563177,5.5730200528751155,2.392677811517107,1.2310064270434264,1.1631610475649223,3.5115315067593835,1.968582340315749,3.055536258198629,1.3454872847282189,0.8890137490131707,0.9416805863420605,2.4364178344958063
