,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,0.9747630883614382,0.6469568632090062,0.5008305577431565,0.3458379468940036,0.19109234259088775,0.6618184941538475,0.6891352342502159,0.4575499812940269,0.35424086200970833,0.24459104344138471,0.13534319716904672,0.46825519687116873
std,0.4499253926410503,0.31501010302924776,0.210670532585657,0.1321528092087269,0.152567687200613,0.49940705918282235,0.3180424000753421,0.2232580887052643,0.14913718920709804,0.09316733013665487,0.1082669569270061,0.3532419504354298
min,3.7757190492351013e-06,2.535102061793505e-06,2.53114387150945e-06,1.5733285742474913e-06,1.423184792319134e-06,3.2895723310535214e-06,2.8153313965519656e-06,1.7080593076644858e-06,2.051370104571968e-06,1.0311036048120601e-06,1.0785143071894354e-06,2.022841070742975e-06
25%,0.7188744995290723,0.42102358397344153,0.3523487367024535,0.2503535907481179,4.2277581021567674e-06,7.569732152992156e-06,0.507794906817347,0.29652439214311366,0.24621111336307838,0.17672854417780295,3.65331613040287e-06,5.277812003519385e-06
50%,1.2177920583647892,0.8252345579769351,0.501171577744656,0.293004410324765,0.21922215311611715,0.9765119787894738,0.8751196304812499,0.5910534927132881,0.35567461181832816,0.20764909503496337,0.1547833101820986,0.6976111814982475
75%,1.308800096472494,0.8886099299309941,0.5515685741396641,0.44418289591521065,0.2523026449316361,1.053569067250601,0.9224724352424688,0.6240483310994582,0.3927129374592038,0.31269715865680325,0.17884653129331,0.7414168658058249
max,1.6594414712771823,1.1767858321487679,1.1309644572202502,0.6704838481010853,0.6262998688798637,1.3309205373631365,1.1754214724351226,0.8946203261693205,0.8019815388274719,0.4946704344935302,0.4484842804860222,0.9459642421920507
