,max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,1.12,-0.8745400000000001,0.24546000000000004,1.99454,0.9783,-1.23222,-0.25392000000000003,2.2105200000000003,1.14868,-0.97848,0.17020000000000002,2.12716,1.1731399999999998,-0.87816,0.29498,2.0512999999999995,0.5049399999999999,-0.48836000000000007,0.016579999999999998,0.9933000000000001,0.45055999999999996,-0.44396,0.006600000000000002,0.89452
std,1.7542325026829788,0.3407212164614038,1.665626280571549,1.9006668132794977,0.27054738541538714,1.7822315671021853,1.7726668349566146,1.8321415844050162,1.1428821682974344,0.3181967200539019,1.127299808011541,1.242599190965355,2.064919260268684,0.28189999384642106,2.083034457375164,2.0851104923495356,0.4032490702445094,0.38489451298043853,0.07649545538054893,0.784637268333045,0.3793992114286126,0.3691322400065387,0.06492476022132017,0.7457811475225155
min,0.0,-1.417,-0.312,0.004,0.001,-13.441,-12.521,0.005,0.0,-1.4,-0.259,0.004,0.002,-1.204,-0.201,0.006,-0.001,-1.146,-0.276,0.004,-0.001,-1.163,-0.148,0.003
25%,0.7055,-1.2025,-0.0485,1.4257499999999999,0.987,-1.11775,-0.06575,1.991,0.78025,-1.2275,-0.053,1.51425,0.66525,-1.0967500000000001,-0.05375,1.34625,0.0022500000000000003,-0.7605,-0.0045000000000000005,0.00525,0.003,-0.7005,-0.00925,0.005
50%,0.808,-0.792,0.035,1.5125,1.028,-1.0510000000000002,-0.0005,2.105,1.1480000000000001,-1.1225,-0.001,2.377,1.032,-0.9924999999999999,0.002,2.074,0.6925,-0.664,0.001,1.4095,0.621,-0.5925,-0.001,1.2389999999999999
75%,1.2029999999999998,-0.683,0.08925,2.4530000000000003,1.08725,-0.98475,0.0535,2.19025,1.236,-0.7464999999999999,0.08775,2.474,1.08075,-0.6475,0.05375,2.19175,0.76625,-0.004,0.0615,1.501,0.6805000000000001,-0.004,0.03,1.3567500000000001
max,13.056,-0.002,11.764,14.348,1.372,-0.002,0.303,14.361,8.768,-0.003,7.947,9.589,15.36,-0.002,14.716,16.004,1.268,-0.002,0.176,2.414,1.153,0.005,0.183,2.23
