max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.003,-0.002,0.001,0.005,0.001,-0.004,-0.003,0.005,0.78,-0.646,0.134,1.426,0.98,-0.983,-0.003,1.963,1.268,-1.146,0.122,2.414,1.042,-0.992,0.05,2.034
0.001,-0.004,-0.003,0.005,0.002,-0.004,-0.002,0.006,0.814,-0.66,0.154,1.474,1.044,-0.983,0.061,2.027,1.258,-1.143,0.115,2.401,1.146,-0.963,0.183,2.109
1.016,-0.906,0.11,1.922,1.178,-1.188,-0.01,2.366,1.004,-1.079,-0.075,2.083,0.66,-0.716,-0.056,1.376,0.6,-0.548,0.052,1.148,-0.001,-0.004,-0.005,0.003
1.359,-1.312,0.047,2.671,1.081,-1.192,-0.111,2.273,0.784,-0.812,-0.028,1.596,0.66,-0.746,-0.086,1.406,-0.001,-0.005,-0.006,0.004,0.002,-0.003,-0.001,0.005
1.169,-1.417,-0.248,2.586,1.15,-1.014,0.136,2.164,1.026,-0.715,0.311,1.741,0.852,-0.64,0.212,1.492,0.001,-0.004,-0.003,0.005,0.001,-0.003,-0.002,0.004
0.832,-0.796,0.036,1.628,0.722,-0.817,-0.095,1.539,0.003,-0.003,0.0,0.006,0.002,-0.004,-0.002,0.006,0.891,-0.764,0.127,1.655,1.153,-1.038,0.115,2.191
1.452,-1.342,0.11,2.794,1.372,-1.069,0.303,2.441,0.94,-0.754,0.186,1.694,0.688,-0.638,0.05,1.326,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006
1.3,-1.171,0.129,2.471,1.06,-0.996,0.064,2.056,0.807,-0.72,0.087,1.527,0.724,-0.589,0.135,1.313,0.001,-0.004,-0.003,0.005,0.003,-0.002,0.001,0.005
0.602,-0.762,-0.16,1.364,1.034,-1.087,-0.053,2.121,1.236,-1.286,-0.05,2.522,1.154,-1.106,0.048,2.26,0.74,-0.745,-0.005,1.485,0.658,-0.57,0.088,1.228
1.248,-1.21,0.038,2.458,1.07,-1.0,0.07,2.07,0.794,-0.636,0.158,1.43,0.742,-0.494,0.248,1.236,0.003,-0.002,0.001,0.005,0.003,-0.002,0.001,0.005
1.146,-1.198,-0.052,2.344,1.01,-1.018,-0.008,2.028,0.714,-0.676,0.038,1.39,0.604,-0.67,-0.066,1.274,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006
13.056,-1.292,11.764,14.348,0.92,-13.441,-12.521,14.361,8.768,-0.821,7.947,9.589,15.36,-0.644,14.716,16.004,0.001,-0.004,-0.003,0.005,0.003,-0.002,0.001,0.005
0.732,-0.68,0.052,1.412,0.986,-1.014,-0.028,2.0,1.19,-1.224,-0.034,2.414,1.083,-1.084,-0.001,2.167,0.673,-0.666,0.007,1.339,0.602,-0.612,-0.01,1.214
0.789,-0.642,0.147,1.431,1.024,-0.959,0.065,1.983,1.268,-1.18,0.088,2.448,1.076,-0.942,0.134,2.018,0.685,-0.598,0.087,1.283,0.685,-0.583,0.102,1.268
0.685,-0.739,-0.054,1.424,1.028,-1.065,-0.037,2.093,1.212,-1.212,0.0,2.424,1.05,-1.056,-0.006,2.106,0.66,-0.642,0.018,1.302,0.672,-0.538,0.134,1.21
1.268,-1.321,-0.053,2.589,1.264,-1.174,0.09,2.438,0.874,-0.7,0.174,1.574,0.664,-0.64,0.024,1.304,0.0,-0.005,-0.005,0.005,0.01,0.005,0.015,0.005
0.668,-0.75,-0.082,1.418,0.98,-1.097,-0.117,2.077,1.198,-1.226,-0.028,2.424,1.046,-1.155,-0.109,2.201,0.685,-0.81,-0.125,1.495,0.653,-0.71,-0.057,1.363
1.315,-1.218,0.097,2.533,1.147,-1.114,0.033,2.261,0.696,-0.678,0.018,1.374,0.722,-0.64,0.082,1.362,0.004,-0.002,0.002,0.006,-0.001,-0.004,-0.005,0.003
1.062,-1.204,-0.142,2.266,0.96,-1.164,-0.204,2.124,0.576,-0.835,-0.259,1.411,0.592,-0.64,-0.048,1.232,0.003,-0.002,0.001,0.005,-0.001,-0.006,-0.007,0.005
0.751,-0.646,0.105,1.397,0.93,-0.949,-0.019,1.879,1.131,-1.228,-0.097,2.359,1.094,-1.088,0.006,2.182,0.763,-0.648,0.115,1.411,0.631,-0.567,0.064,1.198
0.7,-0.701,-0.001,1.401,0.956,-0.95,0.006,1.906,1.228,-1.167,0.061,2.395,0.982,-1.084,-0.102,2.066,0.7,-0.788,-0.088,1.488,0.636,-0.602,0.034,1.238
0.669,-0.798,-0.129,1.467,1.058,-0.93,0.128,1.988,1.276,-1.133,0.143,2.409,1.142,-1.002,0.14,2.144,0.761,-0.676,0.085,1.437,0.683,-0.682,0.001,1.365
0.864,-0.66,0.204,1.524,0.954,-0.996,-0.042,1.95,1.292,-1.224,0.068,2.516,1.06,-1.058,0.002,2.118,0.73,-0.67,0.06,1.4,0.672,-0.634,0.038,1.306
0.742,-0.756,-0.014,1.498,0.994,-1.15,-0.156,2.144,1.165,-1.268,-0.103,2.433,1.076,-1.129,-0.053,2.205,0.804,-0.825,-0.021,1.629,0.69,-0.728,-0.038,1.418
0.702,-0.68,0.022,1.382,1.008,-0.947,0.061,1.955,1.11,-1.112,-0.002,2.222,1.115,-1.058,0.057,2.173,0.742,-0.672,0.07,1.414,0.714,-0.581,0.133,1.295
0.765,-0.71,0.055,1.475,1.052,-1.119,-0.067,2.171,1.306,-1.341,-0.035,2.647,1.104,-1.119,-0.015,2.223,0.764,-0.798,-0.034,1.562,0.706,-0.707,-0.001,1.413
1.162,-1.306,-0.144,2.468,1.071,-1.152,-0.081,2.223,0.738,-0.866,-0.128,1.604,0.649,-0.752,-0.103,1.401,0.002,-0.004,-0.002,0.006,0.001,-0.004,-0.003,0.005
0.675,-0.792,-0.117,1.467,1.094,-1.046,0.048,2.14,1.266,-1.276,-0.01,2.542,1.063,-1.176,-0.113,2.239,0.62,-0.798,-0.178,1.418,0.556,-0.684,-0.128,1.24
1.224,-1.262,-0.038,2.486,1.012,-1.12,-0.108,2.132,0.645,-0.834,-0.189,1.479,0.661,-0.68,-0.019,1.341,0.001,-0.003,-0.002,0.004,0.003,-0.002,0.001,0.005
1.278,-1.262,0.016,2.54,1.122,-1.06,0.062,2.182,0.765,-0.727,0.038,1.492,0.658,-0.754,-0.096,1.412,0.003,-0.002,0.001,0.005,0.003,-0.002,0.001,0.005
1.244,-1.186,0.058,2.43,1.082,-1.079,0.003,2.161,0.728,-0.705,0.023,1.433,0.604,-0.584,0.02,1.188,0.003,-0.003,0.0,0.006,0.002,-0.003,-0.001,0.005
1.208,-1.172,0.036,2.38,1.089,-1.077,0.012,2.166,0.83,-0.838,-0.008,1.668,0.752,-0.706,0.046,1.458,-0.001,-0.005,-0.006,0.004,0.002,-0.004,-0.002,0.006
1.264,-1.23,0.034,2.494,1.05,-1.149,-0.099,2.199,0.692,-0.818,-0.126,1.51,0.669,-0.642,0.027,1.311,-0.001,-0.005,-0.006,0.004,0.0,-0.004,-0.004,0.004
0.854,-0.648,0.206,1.502,1.044,-0.97,0.074,2.014,1.306,-1.216,0.09,2.522,1.147,-1.048,0.099,2.195,0.706,-0.725,-0.019,1.431,0.612,-0.646,-0.034,1.258
1.284,-1.194,0.09,2.478,1.096,-1.056,0.04,2.152,0.781,-0.748,0.033,1.529,0.634,-0.658,-0.024,1.292,0.001,-0.004,-0.003,0.005,0.004,-0.004,0.0,0.008
0.722,-0.713,0.009,1.435,1.138,-1.084,0.054,2.222,1.23,-1.292,-0.062,2.522,1.024,-1.078,-0.054,2.102,0.816,-0.802,0.014,1.618,0.641,-0.706,-0.065,1.347
0.807,-0.743,0.064,1.55,0.708,-0.656,0.052,1.364,0.0,-0.004,-0.004,0.004,0.004,-0.002,0.002,0.006,0.834,-0.772,0.062,1.606,1.067,-1.163,-0.096,2.23
0.677,-0.792,-0.115,1.469,1.018,-0.996,0.022,2.014,1.256,-1.224,0.032,2.48,1.04,-1.147,-0.107,2.187,0.746,-0.718,0.028,1.464,0.646,-0.664,-0.018,1.31
