max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.968,-0.986,-0.018,1.954,0.586,-0.762,-0.176,1.348,0.468,-0.516,-0.048,0.984,0.736,-0.652,0.084,1.388,0.002,-0.003,-0.001,0.005,0.002,-0.004,-0.002,0.006
0.928,-0.848,0.08,1.776,1.065,-1.236,-0.171,2.301,0.958,-1.016,-0.058,1.974,0.696,-0.766,-0.07,1.462,0.512,-0.494,0.018,1.006,0.674,-0.762,-0.088,1.436
0.954,-0.983,-0.029,1.937,0.698,-0.864,-0.166,1.562,0.653,-0.615,0.038,1.268,0.594,-0.872,-0.278,1.466,0.001,-0.004,-0.003,0.005,0.002,-0.004,-0.002,0.006
0.903,-0.876,0.027,1.779,1.147,-1.084,0.063,2.231,0.95,-0.958,-0.008,1.908,0.653,-0.617,0.036,1.27,0.488,-0.6,-0.112,1.088,0.686,-0.607,0.079,1.293
0.95,-0.878,0.072,1.828,1.0,-1.131,-0.131,2.131,0.907,-0.92,-0.013,1.827,0.642,-0.738,-0.096,1.38,0.406,-0.567,-0.161,0.973,0.52,-0.638,-0.118,1.158
0.828,-0.987,-0.159,1.815,1.028,-1.16,-0.132,2.188,0.894,-1.091,-0.197,1.985,0.73,-0.714,0.016,1.444,0.495,-0.565,-0.07,1.06,0.584,-0.718,-0.134,1.302
0.86,-0.876,-0.016,1.736,0.651,-0.707,-0.056,1.358,0.514,-0.516,-0.002,1.03,0.598,-0.658,-0.06,1.256,0.003,-0.002,0.001,0.005,0.001,-0.004,-0.003,0.005
0.85,-0.949,-0.099,1.799,0.584,-0.666,-0.082,1.25,0.543,-0.461,0.082,1.004,0.628,-0.6,0.028,1.228,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005
0.894,-0.876,0.018,1.77,1.099,-1.02,0.079,2.119,0.935,-0.87,0.065,1.805,0.692,-0.565,0.127,1.257,0.535,-0.446,0.089,0.981,0.59,-0.55,0.04,1.14
0.862,-0.849,0.013,1.711,1.044,-0.983,0.061,2.027,0.942,-0.92,0.022,1.862,0.63,-0.684,-0.054,1.314,0.458,-0.463,-0.005,0.921,0.594,-0.56,0.034,1.154
0.536,-0.606,-0.07,1.142,0.656,-0.668,-0.012,1.324,0.002,-0.004,-0.002,0.006,0.001,-0.003,-0.002,0.004,0.868,-0.794,0.074,1.662,1.147,-1.022,0.125,2.169
0.88,-0.865,0.015,1.745,1.05,-1.062,-0.012,2.112,0.909,-0.928,-0.019,1.837,0.648,-0.728,-0.08,1.376,0.514,-0.482,0.032,0.996,0.69,-0.573,0.117,1.263
0.514,-0.41,0.104,0.924,0.667,-0.492,0.175,1.159,0.001,-0.004,-0.003,0.005,0.003,-0.004,-0.001,0.007,0.998,-0.822,0.176,1.82,1.136,-0.976,0.16,2.112
0.854,-0.693,0.161,1.547,1.092,-0.969,0.123,2.061,0.984,-0.819,0.165,1.803,0.644,-0.603,0.041,1.247,0.505,-0.424,0.081,0.929,0.683,-0.53,0.153,1.213
0.864,-0.878,-0.014,1.742,0.56,-0.524,0.036,1.084,0.456,-0.414,0.042,0.87,0.68,-0.5,0.18,1.18,0.001,-0.004,-0.003,0.005,0.002,-0.002,0.0,0.004
0.781,-0.834,-0.053,1.615,0.944,-1.072,-0.128,2.016,0.904,-0.888,0.016,1.792,0.531,-0.662,-0.131,1.193,0.409,-0.526,-0.117,0.935,0.526,-0.632,-0.106,1.158
0.908,-0.845,0.063,1.753,0.574,-0.608,-0.034,1.182,0.505,-0.458,0.047,0.963,0.638,-0.644,-0.006,1.282,0.002,-0.003,-0.001,0.005,0.002,-0.004,-0.002,0.006
0.962,-0.875,0.087,1.837,0.744,-0.597,0.147,1.341,0.468,-0.484,-0.016,0.952,0.752,-0.625,0.127,1.377,0.003,-0.003,0.0,0.006,0.002,-0.004,-0.002,0.006
0.944,-0.961,-0.017,1.905,0.631,-0.676,-0.045,1.307,0.502,-0.52,-0.018,1.022,0.67,-0.628,0.042,1.298,0.002,-0.005,-0.003,0.007,0.001,-0.004,-0.003,0.005
0.824,-0.924,-0.1,1.748,0.557,-0.548,0.009,1.105,0.466,-0.416,0.05,0.882,0.572,-0.571,0.001,1.143,0.002,-0.004,-0.002,0.006,0.002,-0.002,0.0,0.004
0.484,-0.522,-0.038,1.006,0.706,-0.65,0.056,1.356,0.001,-0.005,-0.004,0.006,0.003,-0.004,-0.001,0.007,0.876,-0.864,0.012,1.74,1.142,-1.128,0.014,2.27
