,max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.84524,-0.8436400000000001,0.0015999999999999992,1.6888800000000002,0.8390800000000002,-0.8452200000000001,-0.00614,1.6843000000000001,0.7059000000000001,-0.6845399999999999,0.021360000000000004,1.3904400000000001,0.60948,-0.5891200000000001,0.02036,1.1985999999999999,0.34152,-0.33035999999999993,0.011159999999999996,0.67188,0.40501999999999994,-0.38789999999999997,0.017120000000000003,0.7929200000000001
std,0.16286924265827982,0.16787759875357197,0.08640672687343036,0.31929991275556946,0.2497796449281009,0.24538934411274185,0.09628190115383015,0.4857379931189074,0.2785192075595359,0.27831821532122514,0.08232904613035848,0.550717608290885,0.1764029755869168,0.18541191208457222,0.09989458934092396,0.34786814297655827,0.29404013609140683,0.28391179716846665,0.07816632188833643,0.5727312166545597,0.3558907473953666,0.3386020028389239,0.07766296624859634,0.6903532027084367
min,0.002,-1.076,-0.18,0.004,0.003,-1.236,-0.193,0.005,0.001,-1.091,-0.197,0.005,0.001,-1.179,-0.278,0.004,-0.001,-0.973,-0.161,0.004,0.001,-1.128,-0.15,0.004
25%,0.8245,-0.908,-0.0375,1.6712500000000001,0.63175,-1.045,-0.063,1.2934999999999999,0.49824999999999997,-0.9115,-0.01875,0.97575,0.591,-0.651,-0.0375,1.18325,0.002,-0.5195000000000001,-0.00825,0.00525,0.002,-0.62575,-0.003,0.005
50%,0.87,-0.876,-0.007,1.7505,0.956,-0.95,-0.009,2.0115,0.8614999999999999,-0.8065,0.0215,1.7685,0.64,-0.6065,0.0125,1.249,0.451,-0.429,-0.0015,0.917,0.586,-0.55,0.0,1.1549999999999998
75%,0.9307500000000001,-0.8325,0.049999999999999996,1.828,1.06325,-0.647,0.06075,2.09925,0.94025,-0.463,0.0775,1.84525,0.6785000000000001,-0.5642499999999999,0.0765,1.2955,0.514,-0.004,0.0285,1.0035,0.6455,-0.004,0.039,1.24125
max,1.018,-0.002,0.25,2.094,1.147,-0.002,0.199,2.301,1.014,-0.004,0.242,1.985,1.044,-0.003,0.232,2.223,0.998,-0.002,0.256,1.88,1.147,-0.002,0.238,2.27
