,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,1.0521722312648858,1.2265215444687858,1.4979125372587319,1.88474037193215,1.4758226668445629,1.3034209872286453,0.7459683373515177,0.8692696652280796,1.0608291082504828,1.3354227306164317,1.045196314154407,0.9237873357521859
std,0.4774641005983152,0.7625361248196084,0.6201394594305909,0.6309302528009182,1.0271173383700636,0.8996879734252776,0.33839711306799236,0.5401939166556943,0.4387553544272102,0.4461634976331482,0.7270697741191011,0.6372527331856431
min,1.8381342459653711e-06,1.3905971176584554e-06,2.021536928804447e-06,1.4723800686343127e-06,1.4628091943057026e-06,1.1463094008793906e-06,1.2062203100248653e-06,9.617146218580942e-07,1.3622234625989934e-06,9.863881798023075e-07,1.2277230559613057e-06,9.404461541385756e-07
25%,0.9959039167510015,0.825531835114554,1.2096730652228098,1.8156160494884062,4.32497235719357e-06,2.9847343509256265e-06,0.7071386971887644,0.5850241688137724,0.8643308954858442,1.297939454078475,3.4320592620969513e-06,2.1935141296222996e-06
50%,1.0594006021171094,0.8880402194974801,1.2911354956920214,2.1609849443058913,2.204701473532605,1.82119407812602,0.7506193487517911,0.6272680630100056,0.91879605259827,1.544980219215327,1.5793827587741862,1.2995431421537151
75%,1.2294703406465346,2.1681071847707662,2.2330608607480698,2.2883830804491363,2.3499296385761523,1.9337596888430062,0.8723500369329578,1.551741234196502,1.6027827262820995,1.6224335716384257,1.6703671192775593,1.368072911039587
max,2.4532207546183544,2.7661533873449478,2.7209605297255743,2.5139853924488715,2.5536605926778457,2.4797481041993814,1.7357345663064203,1.8491317799033822,1.82960348774793,1.75284372525352,1.7906353089853853,1.7042458698728167
