,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,0.5246105651044102,0.5623224281968109,0.4841488727197732,0.38910595785158275,0.24414383195449585,0.27510132158497036,0.3709869050343896,0.39787790272959367,0.3426651048763079,0.2753149984473073,0.17225229480606744,0.19419866863732366
std,0.20976446620739106,0.3072587569804803,0.21018878221486822,0.18124464065940601,0.20997206579937175,0.21869108971271392,0.1483597809155171,0.21666889012230758,0.14813170307459705,0.12843517524536557,0.14811934111186856,0.15430388085719157
min,1.5715923359953638e-06,1.4124834485890482e-06,1.6108691332712732e-06,1.4277112007061691e-06,1.5180090308038654e-06,1.3995471631821377e-06,1.1678375755745858e-06,9.954418027426243e-07,1.3114957772106873e-06,9.925501463704228e-07,1.1119825834534391e-06,9.747813627154213e-07
25%,0.5583856366115472,0.33202340487685056,0.2636525667400527,0.3332830533206409,3.823318307432813e-06,3.0915755755134644e-06,0.39611267963190805,0.2355518846949407,0.18632382450438081,0.23530831111863643,2.950559590428684e-06,2.1026027717600405e-06
50%,0.584422558500791,0.7798931916595974,0.6170044394682029,0.3516249325229941,0.25716173263359343,0.3609463888286406,0.412010333830893,0.5582270378574579,0.44068077298281444,0.24924434577797672,0.18125745990590408,0.2556942768545992
75%,0.6411551497866438,0.838578909407013,0.6517471632300447,0.3800158706715427,0.27813394543584585,0.38319474490846034,0.45637440437965315,0.5937422207128826,0.4605363795908547,0.26912798361556084,0.19535155803656853,0.27126145585587746
max,0.8728823996807121,1.019224991229586,0.8363279327087983,0.9105747006085021,0.7357959896494278,0.8975855800075304,0.6106170549167611,0.7390898287127091,0.6145339703267942,0.6375374278341206,0.50324707304246,0.6469326977909412
