,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,0.006656933131254682,0.00495750789179054,0.0054147262252386315,0.003585297122413136,0.002846607059163326,0.005887482233688849,0.004723063875736075,0.0035907504833509883,0.003897316939969309,0.0026026351180503493,0.00203308714285705,0.0041749208322925105
std,0.003086510484072759,0.006330916094162285,0.008157535472164116,0.005015375328663618,0.0020613443246938526,0.004444845165801597,0.002345989670884497,0.005490752895329338,0.007168513760713055,0.00440808713930794,0.001612680168710543,0.0033952380940545893
min,3.4231223571066148e-06,2.481770369477874e-06,2.761356036368128e-06,1.3740010765054125e-06,1.5531223153677554e-06,3.0771366590518387e-06,2.2408629861494155e-06,1.6966707996818224e-06,1.849951766716288e-06,1.0987163467026496e-06,1.22060815223698e-06,2.349984570986343e-06
25%,0.00599125724947914,0.004204260412706525,0.0042327967531713894,0.0028514477882450127,0.0022806619459438994,1.5884103885116396e-05,0.004264281449825835,0.0029927560308402375,0.003011534461141283,0.0020317986102226897,0.0016781997450091711,1.2754169493934242e-05
50%,0.007095935468068649,0.004847704201342298,0.004922206294812071,0.0032691732127560313,0.0034132958667950964,0.006791973216105659,0.005005868043786563,0.003422278608196519,0.003487091122273624,0.0023256483971076797,0.0023589148820937814,0.004787603008036238
75%,0.008005859199946983,0.0056505375262721124,0.005779683728711397,0.0037819954399237942,0.0038597116787625245,0.008062288504149692,0.0056884055635754915,0.0040429463597434065,0.003977216481574512,0.0026880279797660946,0.002739055431560485,0.005641606968798954
max,0.025164479484436522,0.13348252716738374,0.17766965108189273,0.10933328398581653,0.028237541204996237,0.056579535294741315,0.023326677442835682,0.11643569002415931,0.15591193935961803,0.0958257374186409,0.024651335127065382,0.048760375856397586
