,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,9.549705673108544,13.352209551419076,26.01228356721859,24.414549065353707,16.280973101159326,9.098151371375563,6.7564761997105975,9.446574356279406,18.40179158600231,17.273057277825647,11.520015778843318,6.4378296647467845
std,0.4670137323661252,0.62245019804119,1.209378685141096,1.191226034176969,0.856437251179417,0.46454319917463605,0.30302987689054944,0.40319668173476153,0.783080184768316,0.7829274575578046,0.562547249010109,0.3033974290319599
min,8.71621639902287,12.157940971436604,23.8110061524023,22.24771141594412,14.69866059982173,8.303058922289539,6.282943751997155,8.71913755632661,16.98049470293583,15.86276957301212,10.586619488857496,5.9570498358126835
25%,9.176834064343641,12.818467092334322,24.977493279792185,23.422669397521954,15.558941364513698,8.744792676264302,6.498876303432201,9.121885352004808,17.697255822992464,16.564799087328634,11.012736569278857,6.180030222773955
50%,9.47804736148889,13.322791730549554,25.96527147551331,24.369811079386302,16.15544297086583,9.01454050178402,6.67767865630489,9.396410654343493,18.410184742776472,17.20505610199522,11.447068814853303,6.3743168214870245
75%,9.949362912442677,13.82041530817905,26.89702764967579,25.341916573522052,16.95657392291047,9.489479823489631,7.070783477684907,9.844638853974454,19.135122999145217,18.038445092851163,12.051868101934788,6.748464054598857
max,10.511020807911486,14.681226318225914,28.165128630865244,26.720524319922735,17.99007966791553,9.9939531090487,7.348863281090224,10.223233013329668,19.69502928875729,18.651086626503076,12.551497460606457,6.977580888647632
