,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,19.1731432842303,29.342362209166332,18.9349921909768,12.542788304703452,10.775338432565833,9.928436572495528,13.569035651461338,20.765537932090876,13.399186892059928,8.879290891314596,7.6272248833313725,7.026681304068677
std,0.5224183225175899,0.8373460717684876,0.5282498126735797,0.3420526599636033,0.29764918230091914,0.2665873820524695,0.2718552907514748,0.44718135099167633,0.27538618765820705,0.17700246644946657,0.15828272486458914,0.13763658975923648
min,17.93096847068564,27.588209723787685,17.794754701380505,11.758373232994456,10.021032468805316,9.319241409502753,12.924030764332652,19.764884965798974,12.781195560057151,8.449663150215038,7.224720807822467,6.678914916706671
25%,18.714940956241467,28.718707876258883,18.484854020763734,12.301704981253588,10.532645406460135,9.774162414971602,13.373383633414397,20.430687985275696,13.187311138096716,8.745698764939123,7.515161648151198,6.950244586652151
50%,19.15195783077679,29.41226068661262,18.93951670560302,12.531291697227305,10.776320529814454,9.917395650302057,13.587587473542996,20.78317643279805,13.414083448245648,8.871578765443745,7.632020804242002,7.03193250293085
75%,19.565096350477667,29.90761088358145,19.351824003698027,12.803990649315775,10.963174439973914,10.137560529271811,13.754347096159862,21.092777986166084,13.596907479530621,8.982942676022022,7.74092739236538,7.123502618394031
max,20.40686470999629,31.134671036183967,20.117881027483,13.386566023161514,11.558858971111672,10.520607177032902,14.162728632335103,21.67806833778574,13.989632314012539,9.33143878030405,8.031393205004015,7.3288543373784405
