,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,26.789575952338012,11.878458408621627,6.588844828379573,5.468303351342088,7.931846817048788,16.178457385873912,18.959376298059528,8.405806836197367,4.665312321616766,3.8722970712593066,5.6166912723130915,11.448656736897458
std,0.5969626159593437,0.2647161135578607,0.15023316661626998,0.13445497332726314,0.19347717850250412,0.36638969542998057,0.24476831201544114,0.1130597814911438,0.06323459716788332,0.05967724144961408,0.08796468663220429,0.15628520029673224
min,25.709285228156244,11.42560686635874,6.212543489487727,5.0886611977253144,7.469891493821115,15.537938705570252,18.467061117681673,8.13034509131842,4.451893334771139,3.6805464944083854,5.3550150763076045,11.09256767929194
25%,26.225739953519188,11.648940780262373,6.46716751305611,5.357884218318335,7.786159412276511,15.820171922138845,18.755933803894568,8.323035697385073,4.620977905369673,3.831048514762016,5.5569037403645725,11.336826886363115
50%,26.877065066724604,11.862689725907915,6.612291472205028,5.478015578929766,7.9417329733990485,16.233812816419473,18.963647340805284,8.395912964868991,4.659465317424759,3.8716932168896587,5.613514547377335,11.446600148841757
75%,27.26593772583189,12.116289866554283,6.715178104268644,5.570545001040694,8.076567055191415,16.459685535941468,19.12017308739989,8.479926777744057,4.706642835575711,3.9111352000897,5.659103638552812,11.551511821007999
max,28.15507717025649,12.428843723700425,6.91569412053659,5.776863602808778,8.326366340546029,17.032407514001342,19.53663014902224,8.664144946098427,4.855387386976466,4.050173619518429,5.867605185180116,11.815458346446695
