,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,13.55651365893948,4.307536261722657,3.718568011354338,5.8973908382782065,17.348037156607855,29.476071581483847,9.597431549519502,3.0493996049624807,2.6320014217055108,4.174241299718001,12.285623269684436,20.87083653241999
std,0.4279146689383505,0.14129351787137867,0.12963733076988684,0.19770207072274243,0.5415605649327263,0.907646178610117,0.24561722970143135,0.08374322187320281,0.07694636378424594,0.11870234012756131,0.31580456506420584,0.5164797298232917
min,12.801245704901962,4.050089130530477,3.4775623490131884,5.523937728670865,16.360096122616934,27.7895424096947,9.22207262639711,2.918686262353328,2.5126347423133786,3.9888656140155905,11.737576842240827,20.033603824613447
25%,13.204478023080135,4.194993961829353,3.6196166163337775,5.738584087022109,16.955464231910135,28.786685663223913,9.419720937735425,2.9878812691561945,2.5728296464687017,4.082885227357763,12.033697960195656,20.434779377864256
50%,13.52873198089522,4.301965441522682,3.720110751933789,5.890438382643104,17.336515948312787,29.508979006051625,9.534134600173946,3.031636888598764,2.622116399117413,4.154139870188947,12.201697290285207,20.76231720069426
75%,13.811793607704344,4.392325612297733,3.783746716496025,6.041342433473164,17.66976816180432,29.953910599810435,9.798200314764868,3.1102190133576664,2.6828221813961477,4.250808132780767,12.495820409939332,21.27005169377432
max,14.473584560276814,4.647313731395554,4.168348746768555,6.475806022266072,18.654729679202998,31.558875640431992,10.114040151087183,3.2512630604653996,2.888843272772982,4.524776469276124,13.022188738900548,21.968577760123285
