,pe11,pe12,pe13,pe14,pe15,pe16,,,,,,
count,100,100,100,100,100,100,,,,,,
mean,26.48038333,27.22111863,29.01165867,29.01008763,29.99048887,29.47607158,,,,,,
std,0.817891771,0.936517043,0.704684401,0.952706426,0.747111632,0.907646179,,,,,,
min,24.6471812,25.53800138,27.57522774,26.69958575,28.29231413,27.78954241,,,,,,
25%,25.98446692,26.65633269,28.46913037,28.29476993,29.42571582,28.78668566,,,,,,
50%,26.48687548,27.10087886,28.96756368,29.0076559,29.94374205,29.50897901,,,,,,
75%,27.10599342,27.84307372,29.52410618,29.57517203,30.53459577,29.9539106,,,,,,
max,28.08770203,29.1839087,30.57068775,31.811407,31.46066396,31.55887564,,,,,,
,,,,,,,,,,,,
max of mean,29.99048887,29.99048887,29.99048887,29.99048887,29.99048887,29.99048887,,,,,,
scale,1.132554937,1.101736092,1.033739201,1.033795184,1,1.01745203,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
