,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,7.089983812922025,8.290598228754948,15.641389438631943,29.01008763187891,21.03053349608787,9.065108613230938,5.017065127272414,5.865162713054309,11.067907367139236,20.532690250337154,14.882827219568112,6.413555694461468
std,0.20574980750886523,0.23600974269465322,0.4661404755846358,0.95270642589973,0.7245388120564308,0.27930549886626477,0.10901068968805237,0.1278680770324195,0.2648899430720662,0.5673459605695677,0.43664948085173166,0.15608687116269357
min,6.563459985173999,7.735699540493555,14.466185948958106,26.699585746837716,19.31396692736498,8.37641212940764,4.7377146691095335,5.538798513313661,10.342071094061847,19.123980549397473,13.867266933265887,6.005135359182613
25%,6.938041369759317,8.108624534898864,15.341978524445466,28.294769927008225,20.59933167029192,8.866895542994591,4.961461947826049,5.789520791547563,10.912704203943669,20.15496255932905,14.549701807161512,6.328734379823786
50%,7.089097821658491,8.277657331706358,15.629097912475597,29.007655895949316,20.979926227187782,9.077059374225618,5.005150843551883,5.857135504564097,11.075463620152608,20.54511110505367,14.859055233380182,6.413541193896021
75%,7.233191800473187,8.460238428423953,15.976783621814391,29.575172031698056,21.47814132179701,9.253945011565841,5.093029260711819,5.9475012297735015,11.21481934619237,20.86991529026254,15.125007822346536,6.497319414659875
max,7.590780253874316,8.859892881252431,17.0452127450908,31.81140699718081,23.103973340548578,9.754266867831053,5.32078095589532,6.282202713168097,11.812444376478984,22.05478860465565,16.04689410312503,6.872586906005306
