,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,4.632143425792822,3.401144562322364,5.716649256837841,12.615182903321841,29.990488869537717,12.694740682421024,3.2761003180612636,2.4067664678828695,4.045933533201758,8.927127427219405,21.221165203403096,8.98164479950217
std,0.16015033773640913,0.12789197416738282,0.18032661032451164,0.3368459866687307,0.7471116316866888,0.3313413839437927,0.09229982636773319,0.07718125204006436,0.1025463515858551,0.17441819356750396,0.36218309353709427,0.16600524706582317
min,4.246935716747589,3.0992811105553746,5.3015109448051625,11.883876472727977,28.29231412844138,11.923640088477622,3.0551223921034434,2.2308663969929476,3.8077018568559993,8.529965129046058,20.33784207826151,8.574878322051454
25%,4.5286941654526025,3.310011646561432,5.583789932077359,12.389329797649953,29.425715819716533,12.463370285878678,3.209166998364839,2.3457746142593585,3.972509526487014,8.801327311190288,20.95185617527009,8.866677480822862
50%,4.62577309239034,3.4029720329753324,5.720414435579349,12.650264230849416,29.943742046218137,12.666824263655581,3.2781515261930547,2.411702056729582,4.040813082609344,8.9328304614236,21.2372085317335,8.98978247286903
75%,4.74488114518001,3.4877642534120747,5.834429204914132,12.856955326929041,30.53459577279599,12.95419894806194,3.3468767270175874,2.4676813509519917,4.120283169202208,9.04408176418424,21.476207286443685,9.100728211054676
max,5.0061136033594895,3.682103045133253,6.106147908503912,13.35754626599348,31.460663962129594,13.43827149192219,3.480583925912025,2.5577689054812733,4.252818191692268,9.314878384679234,22.021440716923966,9.33892771864301
