,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,16.757890628022547,26.101313697134614,17.15964382514286,11.36290806197147,9.804054909256246,8.816156035600713,11.865962613899528,18.47466674871415,12.147922290961043,8.042020035690534,6.94073844779485,6.240140866367683
std,0.8875126153249424,1.399901802421816,0.9071965610862599,0.5939954018286676,0.5215087193038105,0.47363588430078774,0.5924230120846474,0.9306388918657456,0.601850792965271,0.3954171983311638,0.346881898101399,0.31484538254246264
min,15.223200318090036,23.694242101598977,15.64007274327798,10.343830961352731,8.890610817328369,8.01097380753597,10.947662298309568,17.076525736007813,11.258329837824254,7.416027391097229,6.3639479344351795,5.734452074793363
25%,15.970371132369545,24.789028317628556,16.3830562341721,10.81535176692516,9.316928652937557,8.404646826216464,11.249011700896709,17.530789704181437,11.53074387965927,7.643971660272043,6.587113502924656,5.915543582398498
50%,16.846638224342712,26.391835861593798,17.301055865008728,11.43070183108254,9.862654768548381,8.842555601598388,12.099117126291306,18.88833768179883,12.413533529183393,8.207220572838787,7.028737835575152,6.343824700982471
75%,17.43639779640206,27.349425176538706,17.84840666676193,11.896905532908267,10.261014676593952,9.243447699268192,12.40479225281995,19.323883903922965,12.662361586122643,8.404976111500066,7.240837561322332,6.530436702514009
max,18.195536273853623,28.454227541445935,18.60880098620659,12.423895123955033,10.732634844981357,9.653645152283904,12.707210057737717,19.85675717045144,13.003933089201528,8.659296992755964,7.500087575737356,6.7327899859456
