,pe11,pe12,pe13,pe14,pe15,pe16,pe11avg,pe12avg,pe13avg,pe14avg,pe15avg,pe16avg
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,8.612248335077247,12.902533021807983,25.887668943733978,23.10160552013943,15.935305623540184,8.534807496547746,6.094836995602017,9.129188114363028,18.31567829349663,16.347360008205406,11.275585636830849,6.040729647145233
std,0.349174963186574,0.5349261636618879,1.0619057686364368,0.9448789118190483,0.6407957416696249,0.34030885798580424,0.2204391825458029,0.33775540848703045,0.6724478772875301,0.5986199645805172,0.4041763784555748,0.21498767259136814
min,7.861366352324551,11.837860051903078,23.834043155420837,21.253123072822493,14.550708510274355,7.807959895624698,5.625272184563576,8.467724895414932,17.082933955123806,15.173489809511334,10.41226480622986,5.582413743840947
25%,8.33737575521045,12.492673009234238,25.114808742454137,22.377795869740716,15.418405152125487,8.264182961941891,5.9241997160265,8.85651897406276,17.72887784140439,15.853074425029833,10.958596020654877,5.894783419968276
50%,8.630618690297492,12.908874609371761,25.855679989125726,23.119469093802408,15.94354078369008,8.536391909171734,6.095040586286651,9.117585943490614,18.321567676494553,16.34122943847511,11.253842010901135,6.023395505662525
75%,8.861385676716989,13.279746229776164,26.667686539718208,23.726976554620403,16.410016993715516,8.785182667464618,6.291185681224518,9.422865228941184,18.899339289255163,16.841190538236845,11.595270846366613,6.198312884787428
max,9.412123576932947,14.0109775907092,27.97384250232703,25.10710240525294,17.376800314410797,9.309561767569672,6.538996416208505,9.767470475159401,19.537184906846306,17.51609615701278,12.0721444110282,6.467900533209472
